seq_number	prob	query_distance	test_distance	mam_distance	ln_diff	distinct_sites	total_sites	ave_percent_identity	overall_percent_identity	min_undist	max_undist	ave_undist
9661	0.799266	0.117313	0.12705	0.364468	0.0646669	146	446	73.3931240657698	64.3497757847534	0.19282511	0.30269060	0.26606877
9662	0.402818	0.0134894	0.0273174	0.0133394	0.699897	28	152	96.4912280701754	94.7368421052632	0.02631579	0.03947368	0.0350877166666667
9663	0.986228	0.0367198	0.0364003	0.2088	0.000297973	81	370	84.3243243243243	77.2972972972973	0.07027027	0.20270270	0.156756753333333
9664	0.999981	0	0	0.00751682	5.81849e-10	21	139	99.5203836930456	99.2805755395683	0.00000000	0.00719424	0.00479616
9665	0.644226	0.111473	0.126149	0.225675	0.213257	142	506	78.3926218708827	71.1462450592885	0.17984189	0.23913044	0.216073783333333
9666	0.955662	0.00252869	0.00231154	0.0557666	0.00309119	38	304	95.1754385964912	92.7631578947368	0.00657895	0.06907894	0.04824561
9667	0.194422	0.0215324	0.00543172	0.205525	1.68379	52	239	85.7740585774059	79.0794979079498	0.02928870	0.20502092	0.14225941
9668	0.317232	0.0653802	0.131926	0.217475	1.00032	36	65	76.4102564102564	66.1538461538461	0.18461539	0.27692309	0.235897443333333
9669	0.657395	0.0625018	0.0510407	0.198261	0.196703	80	320	83.0208333333333	76.25	0.10937500	0.20000000	0.169791666666667
9670	0.110367	0.0931314	0.564963	0.518822	2.54896	26	36	67.5925925925926	58.3333333333333	0.27777779	0.38888890	0.32407408
9671	0.034445	0.412513	0.0613264	0.0954313	4.47248	29	260	97.5641025641026	96.5384615384615	0.01538462	0.03076923	0.0243589766666667
9672	0.583847	0.0801913	0.0917924	0.207586	0.300056	166	706	80.028328611898	72.5212464589235	0.15155807	0.22379604	0.199716716666667
9673	0.886459	0.292387	0.263837	0.872085	0.0203881	58	83	55.0200803212851	43.3734939759036	0.33734939	0.51807231	0.449799203333333
9674	0.0814792	0.220781	0.3863	0.501314	3.03515	167	223	37.6681614349776	24.2152466367713	0.56502241	0.68161434	0.623318373333333
9675	0.0591247	0	0.0328632	0.166415	3.56177	33	355	97.0892018779343	95.7746478873239	0.00845070	0.04225352	0.02910798
9676	0.00843688	0.0692108	0.306819	0.262563	6.93831	47	103	77.0226537216828	67.9611650485437	0.19417475	0.28155339	0.229773456666667
9677	0.792148	0.0757097	0.0698729	0.108804	0.0694439	95	599	87.8686700055648	83.6393989983305	0.10851419	0.12854758	0.1213133
9678	0.207122	0.114672	0.188262	0.335924	1.59143	89	199	72.3618090452261	62.8140703517588	0.22110553	0.31658292	0.276381916666667
