Division	SeqNumber	I.ID1	I.ID2	P.ID1	P.ID2	NoSites	I.dn	I.ds	I.dnds	P.dn	P.ds	P.dnds
Archosaurs	34470	XM_006276555_AM	XM_006024697_AS	XM_005235882_FP	XM_005443801_FC	412	0.00423170	0.01756006	0.240984370212858	0.00000000	0.00347827	0
Archosaurs	34471	XM_014608643_AM	XM_014518553_AS	XM_005240379_FP	XM_005437062_FC	251	0.00000000	0.02825193	0	0.00175183	0.00552998	0.316787764151046
Archosaurs	34472	XM_006270082_AM	XM_006025105_AS	XM_005239658_FP	XM_014286633_FC	145	0.02114411	0.06302920	0.335465308142893	0.01669265	0.02496071	0.668757018530322
Archosaurs	34473	XM_014611301_AM	XM_006015356_AS	XM_013304430_FP	XM_005444185_FC	907	0.00809564	0.01826069	0.443337026147424	0.00142778	0.00324413	0.440111832756394
Archosaurs	34474	XM_014599633_AM	XM_006032853_AS	XM_005240531_FP	XM_005439906_FC	196	0.00220670	0.08682483	0.0254155406926797	0.00000000	0.02310837	0
Archosaurs	34475	XM_014607509_AM	XM_006016324_AS	XM_013301354_FP	XM_014285790_FC	708	0.00300120	0.04067262	0.0737891977453137	0.00000000	0.00663721	0
Archosaurs	34477	XM_014596739_AM	XM_006037849_AS	XM_013305524_FP	XM_014283125_FC	363	0.00118250	0.02514202	0.0470328159789866	0.00000000	0.01219952	0
Archosaurs	34479	XM_006267203_AM	XM_006035064_AS	XM_013305279_FP	XM_014279678_FC	286	0.00000000	0.02087091	0	0.00000000	0.00509773	0
Archosaurs	34480	XM_014603572_AM	XM_006034980_AS	XM_013298462_FP	XM_005440080_FC	320	0.00326252	0.02791994	0.116852686646175	0.00000000	0.00828166	0
Archosaurs	34481	XM_006259923_AM	XM_006034987_AS	XM_005241310_FP	XM_005440459_FC	780	0.00168682	0.00718353	0.2348177010467	0.00000000	0.00174267	0
Archosaurs	34482	XM_014609063_AM	XM_006022952_AS	XM_005240980_FP	XM_005442392_FC	621	0.00138528	0.03177017	0.0436031661146289	0.00242943	0.01321091	0.18389573466173
Archosaurs	34483	XM_006270531_AM	XM_006034232_AS	XM_005230129_FP	XM_005432838_FC	257	0.00166829	0.01179385	0.141454232502533	0.00000000	0.00600604	0
Archosaurs	34484	XM_006267877_AM	XM_006020394_AS	XM_005236615_FP	XM_005440214_FC	216	0.00201005	0.04823706	0.0416702427552591	0.00000000	0.00702581	0
Archosaurs	34485	XM_006260155_AM	XM_006035796_AS	XM_005239913_FP	XM_005444830_FC	135	0.00000000	0.01889864	0	0.00000000	0.00943409	0
Archosaurs	34486	XM_006263699_AM	XM_014518103_AS	XM_013305730_FP	XM_014276235_FC	712	0.01066308	0.03455872	0.30854962220823	0.00000000	0.00416957	0
Archosaurs	34487	XM_014610026_AM	XM_006015784_AS	XM_005238408_FP	XM_005437378_FC	667	0.00196068	0.05530421	0.0354526355226844	0.00000000	0.00650999	0
Archosaurs	34488	XM_014608772_AM	XM_014520730_AS	XM_013302554_FP	XM_014278634_FC	613	0.01215586	0.03295785	0.36883049106662	0.00139787	0.00493119	0.283475185502891
Archosaurs	34489	XM_014599977_AM	XM_006020259_AS	XM_013295364_FP	XM_014278591_FC	1451	0.00782158	0.02615521	0.299044817457019	0.00090212	0.00293112	0.307773137913153
Archosaurs	34490	XM_014604359_AM	XM_006035189_AS	XM_005241672_FP	XM_014277373_FC	99	0.00925938	0.02553438	0.362624038649068	0.00460124	0.01276627	0.360421642343457
Archosaurs	34491	XM_014594154_AM	XM_006027530_AS	XM_005238065_FP	XM_005445995_FC	276	0.00774500	0.04014336	0.192933526241949	0.00000000	0.00520384	0
Archosaurs	34494	XM_006271732_AM	XM_006032456_AS	XM_013297416_FP	XM_005443385_FC	246	0.00914088	0.03267304	0.279768273781687	0.00695570	0.00090470	7.68840499613131
Archosaurs	34496	XM_006267477_AM	XM_006036077_AS	XM_005233171_FP	XM_005434766_FC	134	0.00000000	0.02894250	0	0.00335759	0.01957697	0.171507133126321
Archosaurs	34497	XM_006264062_AM	XM_006016396_AS	XM_005243272_FP	XM_005433879_FC	300	0.00147131	0.01378293	0.106748710179911	0.00000000	0.00452832	0
Archosaurs	34498	XM_006265375_AM	XM_006017991_AS	XM_005234770_FP	XM_005432494_FC	580	0.00375141	0.01500675	0.249981508321255	0.00000000	0.00490398	0
Archosaurs	34499	XM_006271078_AM	XM_006032804_AS	XM_013302827_FP	XM_005438912_FC	528	0.00164047	0.01669054	0.098287413109462	0.00163110	0.00281031	0.580398603712758
Archosaurs	34500	XM_014597889_AM	XM_006017167_AS	XM_005235555_FP	XM_005438498_FC	157	0.02596413	0.08965886	0.289588000561238	0.00000000	0.00909102	0
Archosaurs	34502	XM_006267892_AM	XM_006031790_AS	XM_005239389_FP	XM_005446056_FC	333	0.01183716	0.00864563	1.36914950096176	0.00578981	0.01084520	0.533859218824918
Archosaurs	34503	XM_014603995_AM	XM_006032484_AS	XM_013305691_FP	XM_014286812_FC	417	0.00409348	0.02245957	0.182259945315071	0.00102354	0.00735300	0.139200326397389
Archosaurs	34504	XM_006262169_AM	XM_014527849_AS	XM_005242802_FP	XM_005440728_FC	1034	0.00207720	0.03099691	0.067013131308895	0.00000000	0.00434574	0
Archosaurs	34505	XM_014600990_AM	XM_014520382_AS	XM_005238341_FP	XM_005435109_FC	515	0.00938579	0.03070196	0.30570654121105	0.00686013	0.02173081	0.315686805968116
Archosaurs	34506	XM_006277466_AM	XM_006025427_AS	XM_013300554_FP	XM_014276503_FC	826	0.00619119	0.02097705	0.295141118508084	0.00257887	0.00561976	0.458893262345723
Archosaurs	34507	XM_014610407_AM	XM_006035455_AS	XM_005237842_FP	XM_005437103_FC	334	0.00950024	0.01160565	0.818587498330554	0.00134953	0.00385110	0.35042715068422
Archosaurs	34508	XM_006275105_AM	XM_006038547_AS	XM_013294818_FP	XM_005443063_FC	604	0.00071403	0.02979291	0.0239664403376508	0.00000000	0.00492007	0
Archosaurs	34510	XM_014610671_AM	XM_006015520_AS	XM_005244124_FP	XM_005444257_FC	913	0.00233645	0.02735346	0.0854169819832665	0.00093378	0.00843891	0.110651731088494
Archosaurs	34511	XM_014604901_AM	XM_006017492_AS	XM_013302658_FP	XM_014277743_FC	328	0.01196834	0.03163119	0.37837147448452	0.00132802	0.00435415	0.305000976080291
Archosaurs	34512	XM_006278771_AM	XM_006025052_AS	XM_005234533_FP	XM_005447163_FC	442	0.00500002	0.05130205	0.0974623821075376	0.03382741	0.06963491	0.485782346814263
Archosaurs	34513	XM_006276008_AM	XM_006024047_AS	XM_013295542_FP	XM_014284022_FC	644	0.00405064	0.02272471	0.178248259273716	0.00067234	0.00225564	0.298070614105088
Archosaurs	34517	XM_006272220_AM	XM_006015297_AS	XM_005229883_FP	XM_005443188_FC	678	0.00192452	0.00636721	0.30225483374979	0.00000000	0.00640573	0
Archosaurs	34518	XM_014601787_AM	XM_014517222_AS	XM_013304169_FP	XM_014286696_FC	1158	0.00707642	0.04490452	0.157588144801459	0.00249928	0.00519683	0.48092394786822
Archosaurs	34519	XM_006268471_AM	XM_006027502_AS	XM_005238037_FP	XM_005445978_FC	353	0.00867868	0.04149001	0.209175172529484	0.00248191	0.00798411	0.310856188103621
Archosaurs	34520	XM_006262713_AM	XM_006020567_AS	XM_005229773_FP	XM_005443897_FC	1068	0.01313258	0.04845417	0.27103095564324	0.00810211	0.01793774	0.451679531535188
Archosaurs	34521	XM_014593891_AM	XM_006035051_AS	XM_013302505_FP	XM_005438238_FC	365	0.00118930	0.01998786	0.0595011171781271	0.00000000	0.00791564	0
Archosaurs	34522	XM_014599272_AM	XM_006034613_AS	XM_013305210_FP	XM_005439590_FC	2228	0.00194468	0.02517209	0.077255404696233	0.00117513	0.00637962	0.184200626369596
Archosaurs	34525	XM_006271404_AM	XM_006038372_AS	XM_005235357_FP	XM_005434324_FC	568	0.00233478	0.04444831	0.0525279813788196	0.00000000	0.00714008	0
Archosaurs	34526	XM_014597683_AM	XM_014518725_AS	XM_005231723_FP	XM_005446654_FC	128	0.00000000	0.02521246	0	0.00000000	0.01224517	0
Archosaurs	34529	XM_006274439_AM	XM_006021583_AS	XM_013300144_FP	XM_014285338_FC	822	0.00578164	0.02004675	0.288407846658436	0.00572429	0.02544519	0.224965504285879
Archosaurs	34530	XM_006267882_AM	XM_006029741_AS	XM_013303058_FP	XM_014282575_FC	576	0.00369050	0.02194944	0.168136408035923	0.00147185	0.00272356	0.540414016948406
Archosaurs	34531	XM_014604450_AM	XM_006037213_AS	XM_013299799_FP	XM_005442334_FC	1237	0.00415726	0.05248344	0.0792108901398232	0.00071715	0.00873849	0.0820679545321903
Archosaurs	34532	XM_014607769_AM	XM_006028408_AS	XM_005231934_FP	XM_005443026_FC	452	0.00095374	0.02653676	0.0359403333338358	0.00000000	0.00327690	0
Archosaurs	34533	XM_006269324_AM	XM_006016970_AS	XM_005236472_FP	XM_005436526_FC	589	0.00223104	0.03406912	0.0654856949636504	0.00000000	0.00237154	0
Archosaurs	34534	XM_006261260_AM	XM_014527170_AS	XM_013304083_FP	XM_014283425_FC	546	0.00154291	0.01783587	0.0865060128830273	0.00000000	0.00295567	0
Archosaurs	34535	XM_006269833_AM	XM_006028093_AS	XM_005229193_FP	XM_014280832_FC	349	0.00000000	0.00827024	0	0.00124598	0.01240980	0.100402907379652
Archosaurs	34536	XM_006266188_AM	XM_006025256_AS	XM_005239710_FP	XM_005447142_FC	500	0.00086768	0.03240563	0.0267755942408773	0.02024177	0.02927201	0.691505981311157
Archosaurs	34537	XM_006273967_AM	XM_006027432_AS	XM_013297068_FP	XM_014278628_FC	155	0.03501534	0.04859999	0.720480395160575	0.00263158	0.01195244	0.220170944175415
Archosaurs	34538	XM_006278593_AM	XM_006026401_AS	XM_005234929_FP	XM_005447000_FC	405	0.00748403	0.02214183	0.338004130643221	0.00108558	0.01030354	0.105359905430561
Archosaurs	34539	XM_006268827_AM	XM_014518474_AS	XM_013294985_FP	XM_014286966_FC	1116	0.00850991	0.02032415	0.418709269514346	0.00077096	0.00399734	0.192868257391165
Archosaurs	34541	XM_006265738_AM	XM_014520238_AS	XM_005230244_FP	XM_005438195_FC	278	0.00310559	0.00531917	0.583848607959513	0.06206547	0.11805927	0.525714499166393
Archosaurs	34542	XM_014597827_AM	XM_014521555_AS	XM_013295068_FP	XM_014283537_FC	1649	0.00395249	0.02765085	0.142942802843312	0.00061226	0.01035545	0.0591244224055932
Archosaurs	34544	XM_006266070_AM	XM_006016534_AS	XM_013295104_FP	XM_005444006_FC	410	0.00000000	0.02075659	0	0.16807550	2.00550505	0.0838070689475452
Archosaurs	34545	XM_006270196_AM	XM_006019234_AS	XM_005238305_FP	XM_014284587_FC	745	0.00118238	0.02246658	0.0526283929285187	0.00267565	0.01006419	0.265858454580051
Archosaurs	34546	XM_006275080_AM	XM_006021857_AS	XM_013298961_FP	XM_014285226_FC	1622	0.00525626	0.01445596	0.363605045946447	0.00131556	0.00567110	0.231976159827899
Archosaurs	34547	XM_014602770_AM	XM_014521603_AS	XM_005237720_FP	XM_005443716_FC	365	0.00122775	0.04037672	0.030407373357717	0.00488303	0.01853090	0.263507438926334
Archosaurs	34548	XM_014596501_AM	XM_014517105_AS	XM_005242980_FP	XM_005437883_FC	381	0.00227834	0.02309355	0.0986569843094717	0.00000000	0.00378789	0
Archosaurs	34549	XM_006264510_AM	XM_006028039_AS	XM_005244253_FP	XM_005432467_FC	594	0.00732562	0.00734850	0.996886439409403	0.00073002	0.00732607	0.0996468775209628
Archosaurs	34550	XM_006260006_AM	XM_006029821_AS	XM_005231316_FP	XM_005442167_FC	557	0.00878546	0.04248481	0.206790615281085	0.00316498	0.00247627	1.27812395255768
Archosaurs	34551	XM_014593761_AM	XM_014518415_AS	XM_013298492_FP	XM_014280746_FC	745	0.00232064	0.02804065	0.0827598504314272	0.00057842	0.00595832	0.0970776997542932
Archosaurs	34552	XM_014601662_AM	XM_014527070_AS	XM_005244359_FP	XM_005442595_FC	387	0.01250858	0.03355639	0.372762981953661	0.01344301	0.03015941	0.445731862791746
Archosaurs	34553	XM_006265895_AM	XM_006015416_AS	XM_005235378_FP	XM_014278122_FC	125	0.00000000	0.01115262	0	0.00351907	0.02251576	0.156293636102001
Archosaurs	34554	XM_014607353_AM	XM_014524865_AS	XM_005243225_FP	XM_014276786_FC	353	0.01328554	0.04880362	0.272224478430084	0.01166622	0.01912285	0.610067014069556
Archosaurs	34555	XM_006272172_AM	XM_006014737_AS	XM_005238685_FP	XM_005436292_FC	969	0.00201140	0.02052580	0.0979937444581941	0.00133620	0.00456044	0.292998044048381
Archosaurs	34557	XM_006272752_AM	XM_006014779_AS	XM_013303361_FP	XM_014285832_FC	1292	0.00427996	0.03326009	0.128681551974153	0.00231201	0.00714575	0.323550362103348
Archosaurs	34558	XM_006265504_AM	XM_006035168_AS	XM_005231680_FP	XM_005440365_FC	210	0.00629815	0.04064200	0.154966537079868	0.00000000	0.02052580	0
Archosaurs	34559	XM_014611341_AM	XM_014518925_AS	XM_005243851_FP	XM_005444123_FC	283	0.01234442	0.04560228	0.270697430040779	0.00000000	0.00561275	0
Archosaurs	34560	XM_006264124_AM	XM_006035437_AS	XM_005243262_FP	XM_005439966_FC	716	0.00000000	0.01714360	0	0.00000000	0.00427504	0
Archosaurs	34561	XM_014607012_AM	XM_006036916_AS	XM_013304481_FP	XM_014277655_FC	223	0.00614443	0.04022026	0.15276952461272	0.00000000	0.00585940	0
Archosaurs	34562	XM_006278011_AM	XM_006028262_AS	XM_013296927_FP	XM_014277358_FC	368	0.00116709	0.02056332	0.05675591295569	0.00000000	0.00815225	0
Archosaurs	34563	XM_006262562_AM	XM_006029372_AS	XM_013299824_FP	XM_014276128_FC	360	0.00000000	0.02414695	0	0.00000000	0.00792610	0
Archosaurs	34565	XM_014607716_AM	XM_014519041_AS	XM_013303868_FP	XM_005435377_FC	710	0.00187149	0.04110618	0.0455281906516246	0.00000000	0.01169614	0
Archosaurs	34566	XM_006267527_AM	XM_006033297_AS	XM_013305083_FP	XM_014286520_FC	412	0.00105597	0.01754466	0.0601875442442316	0.00247452	0.00573946	0.431141605656281
Archosaurs	34567	XM_006262441_AM	XM_014517236_AS	XM_005243686_FP	XM_005447322_FC	386	0.00798638	0.02572206	0.310487573701329	0.00114701	0.00351083	0.326706220466385
Archosaurs	34568	XM_006268991_AM	XM_006020745_AS	XM_005230614_FP	XM_005443733_FC	625	0.00141226	0.01545877	0.09135655682826	0.04697018	0.06713021	0.699687666700283
Archosaurs	34569	XM_014604746_AM	XM_006032770_AS	XM_013295422_FP	XM_014280072_FC	290	0.00596351	0.02587579	0.230466779951453	0.06131414	0.06554197	0.935494309981833
Archosaurs	34570	XM_006272453_AM	XM_006033671_AS	XM_005239840_FP	XM_014277495_FC	119	0.00368325	0.01188144	0.310000302993577	0.05337278	0.10025329	0.532379336378886
Archosaurs	34571	XM_006277554_AM	XM_006038073_AS	XM_005243296_FP	XM_014287181_FC	298	0.00449327	0.02723446	0.164984728905952	0.00000000	0.00436048	0
Archosaurs	34572	XM_006258335_AM	XM_014523948_AS	XM_005237476_FP	XM_005440540_FC	886	0.00504304	0.02775194	0.181718467249497	0.00095648	0.00354401	0.26988637165245
Archosaurs	34573	XM_006271908_AM	XM_006018572_AS	XM_005238663_FP	XM_005439068_FC	517	0.00331081	0.02693556	0.122915951998028	0.00000000	0.01800987	0
Archosaurs	34574	XM_006275784_AM	XM_006016662_AS	XM_005235890_FP	XM_005439019_FC	533	0.00082827	0.02074462	0.0399269786575989	0.00083091	0.00508261	0.163480967455697
Archosaurs	34576	XM_006276665_AM	XM_006022522_AS	XM_005232646_FP	XM_005439335_FC	432	0.00200719	0.03781953	0.053072843581081	0.00201326	0.01002521	0.200819733451968
Archosaurs	34577	XM_006272567_AM	XM_006033553_AS	XM_013304292_FP	XM_014281421_FC	281	0.00788444	0.02978059	0.264750966988901	0.00000000	0.00481929	0
Archosaurs	34579	XM_006272349_AM	XM_006033146_AS	XM_005229691_FP	XM_005436335_FC	887	0.00519405	0.02254855	0.230349623368243	0.00000000	0.00165198	0
Archosaurs	34580	XM_006266949_AM	XM_006017071_AS	XM_005228686_FP	XM_005438565_FC	1510	0.00373824	0.02731787	0.13684229407344	0.00057539	0.00572112	0.100572964734178
Archosaurs	34581	XM_014611160_AM	XM_006029574_AS	XM_005244364_FP	XM_005442588_FC	241	0.02321089	0.12651774	0.183459568594886	0.00000000	0.00571976	0
Archosaurs	34582	XM_006258482_AM	XM_006035881_AS	XM_005232167_FP	XM_005444801_FC	704	0.00618178	0.02079135	0.297324608551152	0.00186287	0.00804972	0.231420471767962
Archosaurs	34583	XM_014602778_AM	XM_006020759_AS	XM_013295109_FP	XM_005441642_FC	744	0.00231303	0.01209704	0.191206278560706	0.00000000	0.00808361	0
Archosaurs	34584	XM_014606757_AM	XM_006027647_AS	XM_005237440_FP	XM_005441340_FC	128	0.00000000	0.01041683	0	0.00000000	0.01027413	0
Archosaurs	34585	XM_014597535_AM	XM_006017188_AS	XM_005242747_FP	XM_005440649_FC	303	0.03613380	0.05562581	0.649586945340661	0.00434836	0.00462073	0.941054768402395
Archosaurs	34586	XM_006267113_AM	XM_006030884_AS	XM_013298684_FP	XM_005433467_FC	896	0.00145997	0.01439660	0.10141074976036	0.00610976	0.02486526	0.245714703968509
Archosaurs	34587	XM_014605091_AM	XM_006014781_AS	XM_013303363_FP	XM_014285834_FC	1271	0.00434675	0.03137548	0.138539713177296	0.00234821	0.00728751	0.322223914615555
Archosaurs	34589	XM_006261024_AM	XM_006030871_AS	XM_005234726_FP	XM_005440869_FC	580	0.00909561	0.01221525	0.744611039479339	0.00075160	0.00737409	0.10192444084626
Archosaurs	34590	XM_006262230_AM	XM_006035177_AS	XM_005231682_FP	XM_005440363_FC	871	0.00597861	0.02725250	0.219378405650858	0.00098961	0.00339367	0.291604663977346
Archosaurs	34591	XM_006273160_AM	XM_006020291_AS	XM_005232596_FP	XM_005437505_FC	417	0.00212145	0.01980858	0.107097530464072	0.00319149	0.00977213	0.326591029795961
Archosaurs	34592	XM_006269628_AM	XM_006016475_AS	XM_013305702_FP	XM_014280657_FC	229	0.00183683	0.02872883	0.0639368188680152	0.08102475	0.11118975	0.72870700761536
Archosaurs	34593	XM_006271476_AM	XM_006028348_AS	XM_005242631_FP	XM_005441012_FC	360	0.00748808	0.01149048	0.651676866414632	0.00000000	0.00398937	0
Archosaurs	34594	XM_006265540_AM	XM_006023744_AS	XM_005229798_FP	XM_005432736_FC	500	0.00088483	0.01643151	0.0538495853393876	0.00333383	0.01422165	0.23441935359118
Archosaurs	34595	XM_006260534_AM	XM_006030457_AS	XM_005235716_FP	XM_005434920_FC	229	0.00000000	0.01842467	0	0.00000000	0.00606064	0
Archosaurs	34596	XM_014600268_AM	XM_006027869_AS	XM_013297664_FP	XM_014278069_FC	746	0.01270591	0.04557137	0.278813430449864	0.00175268	0.01153130	0.151993270489884
Archosaurs	34597	XM_014597589_AM	XM_014527876_AS	XM_013303516_FP	XM_014281083_FC	1543	0.00138889	0.01975748	0.0702969204574672	0.00000000	0.00780368	0
Archosaurs	34598	XM_014595425_AM	XM_014526484_AS	XM_005236180_FP	XM_005444529_FC	491	0.00665980	0.01626481	0.409460669998604	0.00088119	0.00296883	0.296813896383424
Archosaurs	34599	XM_014601451_AM	XM_006016259_AS	XM_005229736_FP	XM_005433307_FC	1738	0.00322581	0.01200712	0.268658096196257	0.00024834	0.00253236	0.0980666255982562
Archosaurs	34600	XM_006267334_AM	XM_006037258_AS	XM_005231435_FP	XM_005435478_FC	506	0.00903898	0.02255809	0.400697931429478	0.00178758	0.01523539	0.117330767377796
Archosaurs	34601	XM_014601927_AM	XM_006017351_AS	XM_005237519_FP	XM_005441213_FC	792	0.00163763	0.03977577	0.0411715474018479	0.00383073	0.01111131	0.344759528804434
Archosaurs	34602	XM_006262532_AM	XM_006015896_AS	XM_005239768_FP	XM_014278244_FC	363	0.01374841	0.03043081	0.451792443250771	0.01597365	0.00719822	2.21911111358086
Archosaurs	34605	XM_014594003_AM	XM_014522398_AS	XM_013302238_FP	XM_005432901_FC	831	0.00673987	0.03124495	0.215710698848934	0.00444966	0.00995143	0.447137748042241
Archosaurs	34606	XM_006272912_AM	XM_006022350_AS	XM_013302766_FP	XM_014287265_FC	403	0.15470718	0.40954925	0.377749879898449	0.12708453	0.29968484	0.424060589784922
Archosaurs	34607	XM_006272254_AM	XM_006029152_AS	XM_005240579_FP	XM_014280384_FC	945	0.00093023	0.01030944	0.0902308951795636	0.00046784	0.01156928	0.0404381257952094
Archosaurs	34608	XM_014610886_AM	XM_006024215_AS	XM_013299145_FP	XM_014281678_FC	1037	0.00616587	0.03063039	0.201299101970298	0.00000000	0.00267798	0
Archosaurs	34609	XM_014607822_AM	XM_014522424_AS	XM_013303382_FP	XM_014285860_FC	610	0.00395566	0.02923777	0.135292807898824	0.00071788	0.00229533	0.312756771357495
Archosaurs	34610	XM_006273234_AM	XM_006027994_AS	XM_005231000_FP	XM_005445384_FC	469	0.00560663	0.02133206	0.262826468704851	0.00277993	0.00307535	0.903939389012633
Archosaurs	34611	XM_006266428_AM	XM_006021402_AS	XM_013305441_FP	XM_014281455_FC	675	0.00254170	0.01576931	0.161180165777704	0.00000000	0.00451129	0
Archosaurs	34613	XM_014599652_AM	XM_014516833_AS	XM_005240824_FP	XM_014284237_FC	422	0.00416885	0.07251187	0.0574919664876937	0.01536009	0.02817762	0.5451166564103
Archosaurs	34614	XM_006270087_AM	XM_014520601_AS	XM_005239662_FP	XM_005447049_FC	312	0.00000000	0.01834954	0	0.00000000	0.01381467	0
Archosaurs	34615	XM_014610142_AM	XM_014527176_AS	XM_005235194_FP	XM_014286883_FC	456	0.00486383	0.01197630	0.406121256147558	0.00000000	0.00583377	0
Archosaurs	34616	XM_006259554_AM	XM_014523798_AS	XM_005230252_FP	XM_005446580_FC	538	0.00490398	0.02365505	0.207312180697145	0.00000000	0.00511293	0
Archosaurs	34617	XM_014610492_AM	XM_006032364_AS	XM_013294927_FP	XM_014287176_FC	620	0.00000000	0.03834701	0	0.00069999	0.00465750	0.15029307568438
Archosaurs	34618	XM_006272007_AM	XM_014525724_AS	XM_013296691_FP	XM_014279159_FC	156	0.00000000	0.03664851	0	0.02040619	0.02573411	0.792962725347797
Archosaurs	34620	XM_014601592_AM	XM_006030629_AS	XM_013301537_FP	XM_014285503_FC	402	0.00767130	0.02463565	0.311390200786259	0.01361416	0.04108205	0.331389499793706
Archosaurs	34622	XM_006259391_AM	XM_014527118_AS	XM_005230886_FP	XM_005443115_FC	606	0.00534222	0.02611663	0.20455242502574	0.00143173	0.00477994	0.299528864379051
Archosaurs	34624	XM_006266115_AM	XM_006018632_AS	XM_005230563_FP	XM_005434715_FC	543	0.00577203	0.02721387	0.212098830486072	0.00000000	0.00485635	0
Archosaurs	34625	XM_014604843_AM	XM_006021331_AS	XM_013302553_FP	XM_014281384_FC	317	0.00134454	0.01961697	0.068539636855233	0.00000000	0.00478089	0
Archosaurs	34627	XM_014599251_AM	XM_006034618_AS	XM_013305209_FP	XM_005439588_FC	594	0.00145508	0.01995960	0.0729012605463035	0.00878595	0.00986451	0.890662587396637
Archosaurs	34628	XM_006264277_AM	XM_006021173_AS	XM_013294738_FP	XM_014281107_FC	479	0.02416566	0.08299144	0.291182560514675	0.00090253	0.00305189	0.295728220872967
Archosaurs	34629	XM_006261463_AM	XM_006038125_AS	XM_005244302_FP	XM_014282690_FC	112	0.00000000	0.08705413	0	0.05052194	0.07398681	0.682850632430294
Archosaurs	34631	XM_014602305_AM	XM_006020698_AS	XM_013297803_FP	XM_005436183_FC	868	0.00451582	0.01671378	0.270185439798777	0.00401876	0.01160244	0.346371970033889
Archosaurs	34632	XM_006270784_AM	XM_014519448_AS	XM_013295420_FP	XM_005439375_FC	315	0.00274161	0.00939715	0.291749094140245	0.00488544	0.01113193	0.438867294350575
Archosaurs	34633	XM_014608985_AM	XM_014521855_AS	XM_005241794_FP	XM_005440887_FC	1196	0.00253761	0.01840960	0.137841669563706	0.00036306	0.00723769	0.0501624136982932
Archosaurs	34634	XM_006263952_AM	XM_006021038_AS	XM_005241112_FP	XM_005441709_FC	625	0.00549894	0.01953712	0.281461136544178	0.00068954	0.00949192	0.0726449443315999
Archosaurs	34635	XM_006274531_AM	XM_006015966_AS	XM_005242099_FP	XM_005444028_FC	1178	0.00350964	0.01166383	0.300899447265607	0.00000000	0.00243606	0
Archosaurs	34636	XM_014606228_AM	XM_006021726_AS	XM_005242838_FP	XM_005440112_FC	150	0.00000000	0.01960896	0	0.01795912	0.05918563	0.303437168785734
Archosaurs	34637	XM_006261577_AM	XM_006019496_AS	XM_013304586_FP	XM_005445755_FC	793	0.00218579	0.01853090	0.117953796091933	0.00109245	0.00919834	0.118765994733832
Archosaurs	34641	XM_006268659_AM	XM_006015939_AS	XM_005242086_FP	XM_005444015_FC	520	0.00166540	0.03139578	0.0530453455846614	0.00083787	0.01379349	0.0607438726529689
Archosaurs	34642	XM_014609171_AM	XM_014518680_AS	XM_005238854_FP	XM_005439504_FC	114	0.02737875	0.18307419	0.149550026685903	0.00376885	0.01327468	0.283912681887624
Archosaurs	34643	XM_006267447_AM	XM_006020674_AS	XM_005230162_FP	XM_005435795_FC	743	0.00000000	0.02454593	0	0.00059014	0.00753066	0.078364977306106
Archosaurs	34645	XM_006268902_AM	XM_014517272_AS	XM_013302543_FP	XM_014276399_FC	284	0.00532997	0.00781257	0.682230047218777	0.00927847	0.02525491	0.367392716901387
Archosaurs	34646	XM_006262049_AM	XM_014527247_AS	XM_005230263_FP	XM_005446591_FC	232	0.01124318	0.03888560	0.28913479539984	0.00184957	0.01304381	0.141796760302396
