Division	SeqNumber	ID1	ID2	NoSites	dn	ds	dnds
Alligator	15502	XM_014609886_AM	XM_006037402_AS	107	0.07550905	0.10664319	0.708053181829988
Alligator	15503	XM_014601403_AM	XM_014523482_AS	398	0.00000000	0.01117339	0
Alligator	15504	XM_006257798_AM	XM_006032193_AS	269	0.00316081	0.05394236	0.0585960643916951
Alligator	15505	XM_006029435_AS	XM_014607800_AM	760	0.00879556	0.04067367	0.216247021721915
Alligator	15506	XM_006264181_AM	XM_006015145_AS	230	0.01333368	0.07195056	0.185317251179143
Alligator	15507	XM_014610130_AM	XM_006022357_AS	208	0.00619838	0.01463461	0.423542547426956
Alligator	15508	XM_014596116_AM	XM_006032128_AS	453	0.00000000	0.01954508	0
Alligator	15509	XM_006035126_AS	XM_014606389_AM	904	0.00984145	0.01515777	0.649267669320751
Alligator	15510	XM_014602159_AM	XM_006022927_AS	405	0.00650704	0.02106017	0.308973764219377
Alligator	15511	XM_014595224_AM	XM_006038072_AS	657	0.00264056	0.02922813	0.0903431043997683
Alligator	15512	XM_006022039_AS	XM_006271198_AM	1172	0.00182487	0.01173809	0.155465667753442
Alligator	15513	XM_014607620_AM	XM_014527162_AS	399	0.00219700	0.02494292	0.088081106783007
Alligator	15514	XM_014605043_AM	XM_006014789_AS	706	0.01080608	0.03121173	0.346218553088855
Alligator	15515	XM_006026549_AS	XM_006260723_AM	111	0.02488134	0.03495778	0.711754007262475
Alligator	15516	XM_006266693_AM	XM_014518513_AS	334	0.03466886	0.07533734	0.460181631047765
Alligator	15517	XM_006018947_AS	XM_006262482_AM	433	0.00000000	0.01676984	0
Alligator	15518	XM_014517915_AS	XM_014608609_AM	859	0.00206035	0.02571566	0.0801204402298055
Alligator	15519	XM_014597457_AM	XM_006034256_AS	626	0.00380514	0.02730272	0.139368531779984
Alligator	15520	XM_006037741_AS	XM_014597397_AM	271	0.01738396	0.04210496	0.412872022678563
Alligator	15521	XM_006266500_AM	XM_006032413_AS	305	0.00144422	0.01364191	0.10586640726995
Alligator	15522	XM_014610794_AM	XM_006025593_AS	1141	0.00386375	0.02955441	0.130733450608556
Alligator	15523	XM_006020215_AS	XM_006271695_AM	836	0.00157054	0.03434076	0.0457339907445263
Alligator	15524	XM_006260338_AM	XM_006034769_AS	403	0.00907727	0.02845441	0.319011007432591
Alligator	15525	XM_006025627_AS	XM_014599328_AM	4576	0.00783089	0.02268821	0.345152394128933
Alligator	15526	XM_014610875_AM	XM_014519817_AS	1654	0.00396136	0.02619400	0.151231579751088
Alligator	15527	XM_014525140_AS	XM_006276423_AM	670	0.00392115	0.04996418	0.0784792225150098
Alligator	15528	XM_014520205_AS	XM_006268052_AM	647	0.00480331	0.02332343	0.205943551184367
Alligator	15529	XM_006034833_AS	XM_006269963_AM	345	0.01263454	0.01708259	0.73961501154099
Alligator	15530	XM_006023319_AS	XM_006276684_AM	287	0.00152168	0.03012957	0.0505045375689066
Alligator	15531	XM_006258928_AM	XM_014521098_AS	1393	0.00217178	0.02024630	0.107267994645935
Alligator	15532	XM_006014938_AS	XM_006274849_AM	270	0.00164024	0.05183409	0.0316440396657875
Alligator	15533	XM_014593692_AM	XM_014518162_AS	496	0.01362059	0.03389860	0.401803909305989
Alligator	15534	XM_006035554_AS	XM_014607797_AM	709	0.00977708	0.03012852	0.324512455308127
Alligator	15535	XM_006015066_AS	XM_006261924_AM	697	0.01403177	0.03833411	0.366038757649519
Alligator	15536	XM_006274927_AM	XM_014524535_AS	360	0.00118671	0.02143003	0.0553760307381744
Alligator	15537	XM_006026820_AS	XM_014597402_AM	156	0.00544591	0.01012674	0.537775236650689
Alligator	15538	XM_014600807_AM	XM_006017109_AS	433	0.00000000	0.03123644	0
Alligator	15539	XM_014596002_AM	XM_006017725_AS	430	0.00000000	0.01689261	0
Alligator	15540	XM_006026045_AS	XM_014593484_AM	359	0.00357925	0.03899795	0.0917804653834368
Alligator	15541	XM_006020205_AS	XM_006271700_AM	193	0.00000000	0.03812765	0
Alligator	15542	XM_006028467_AS	XM_006274409_AM	1356	0.00159168	0.03434869	0.0463388851219654
Alligator	15543	XM_006260136_AM	XM_006035804_AS	133	0.01650686	0.03306320	0.499251736069104
Alligator	15544	XM_006270988_AM	XM_006028500_AS	886	0.00049241	0.02104265	0.0234005697951541
Alligator	15545	XM_006016580_AS	XM_014597985_AM	1497	0.04967584	0.09276427	0.535506181420929
Alligator	15546	XM_006258511_AM	XM_014522853_AS	385	0.01008080	0.04867068	0.207122645502385
Alligator	15547	XM_014521341_AS	XM_014605124_AM	346	0.01682518	0.03518769	0.47815528669259
Alligator	15548	XM_006264745_AM	XM_006027291_AS	966	0.00000000	0.01611666	0
Alligator	15549	XM_014608621_AM	XM_006022628_AS	341	0.03433698	0.04994911	0.687439275694802
Alligator	15550	XM_006034857_AS	XM_014593940_AM	417	0.00210287	0.02036900	0.103238745151947
Alligator	15551	XM_006261063_AM	XM_006017933_AS	471	0.00271698	0.01315102	0.206598423544333
Alligator	15552	XM_006034363_AS	XM_006260050_AM	503	0.00260605	0.02282630	0.114168743948866
Alligator	15553	XM_014599240_AM	XM_006037971_AS	234	0.04226241	0.06159342	0.686151377858219
Alligator	15554	XM_006036930_AS	XM_014607014_AM	106	0.10173411	0.27950646	0.363977669782659
Alligator	15555	XM_014602678_AM	XM_006022661_AS	223	0.00387848	0.02000119	0.193912462208499
Alligator	15556	XM_006015023_AS	XM_006268849_AM	310	0.00572932	0.03118489	0.183721026432994
Alligator	15557	XM_014521655_AS	XM_006263799_AM	420	0.00103627	0.03833587	0.0270313416651298
Alligator	15558	XM_006273498_AM	XM_014516901_AS	429	0.00507316	0.02385887	0.212632031609209
Alligator	15559	XM_006268473_AM	XM_006027503_AS	652	0.00339732	0.01895170	0.179262018710723
Alligator	15560	XM_006260605_AM	XM_006032877_AS	602	0.00288462	0.01945004	0.148309206562043
Alligator	15561	XM_006021920_AS	XM_006260526_AM	710	0.00485561	0.01910593	0.254141515225901
Alligator	15562	XM_014524190_AS	XM_014600753_AM	192	0.06114214	0.04472479	1.36707494881474
Alligator	15563	XM_014525554_AS	XM_006275842_AM	1282	0.00067456	0.04448783	0.015162798455218
Alligator	15564	XM_006266295_AM	XM_006021218_AS	744	0.00458279	0.00836246	0.548019362723409
Alligator	15565	XM_014598450_AM	XM_014518146_AS	267	0.00160643	0.02283716	0.0703428097013814
Alligator	15566	XM_006034387_AS	XM_006277500_AM	331	0.02342818	0.04694354	0.499071437731368
Alligator	15567	XM_014521037_AS	XM_006274680_AM	290	0.00000000	0.06089096	0
Alligator	15568	XM_006029168_AS	XM_014608009_AM	153	0.01143424	0.02871164	0.398244057114118
Alligator	15569	XM_014521914_AS	XM_006265075_AM	193	0.05040889	0.18236775	0.276413400943972
Alligator	15570	XM_014608055_AM	XM_014521004_AS	613	0.00995688	0.02887864	0.34478354936382
Alligator	15571	XM_014606003_AM	XM_014517061_AS	474	0.00275040	0.01534188	0.179273987281872
Alligator	15572	XM_014520951_AS	XM_014605800_AM	708	0.00664256	0.01535141	0.432700318732937
Alligator	15573	XM_006261131_AM	XM_006037955_AS	398	0.03471725	0.08788342	0.395037539504038
Alligator	15574	XM_006260857_AM	XM_006029759_AS	343	0.00126756	0.01689617	0.0750205519949196
Alligator	15575	XM_014600260_AM	XM_006031087_AS	181	0.02528685	0.06679318	0.378584310553862
Alligator	15576	XM_006269485_AM	XM_014518891_AS	750	0.00175362	0.01125197	0.155850042259267
Alligator	15577	XM_006274419_AM	XM_006027800_AS	427	0.00892166	0.02921673	0.305361346050704
Alligator	15578	XM_014607802_AM	XM_014523654_AS	292	0.07271206	0.14289013	0.508866917540071
Alligator	15579	XM_006033274_AS	XM_014608073_AM	665	0.00319796	0.04079374	0.0783934005560657
Alligator	15580	XM_014598368_AM	XM_014524320_AS	877	0.00049821	0.01131792	0.0440195725009542
Alligator	15581	XM_006263988_AM	XM_006029090_AS	422	0.00000000	0.02056097	0
Alligator	15582	XM_014523029_AS	XM_014598145_AM	634	0.00832619	0.03619930	0.230009696320095
Alligator	15583	XM_006264987_AM	XM_014526417_AS	162	0.01293135	0.06576375	0.196633403660831
Alligator	15584	XM_006267055_AM	XM_006021650_AS	491	0.00803579	0.04758781	0.168862362020862
Alligator	15585	XM_006017687_AS	XM_014594369_AM	402	0.01526493	0.05568419	0.27413400464297
Alligator	15586	XM_006023233_AS	XM_006278384_AM	1235	0.00880008	0.03255811	0.270288416618778
Alligator	15587	XM_014605169_AM	XM_014516947_AS	2773	0.00423824	0.02689571	0.157580521205798
Alligator	15588	XM_006263766_AM	XM_006024995_AS	705	0.00369876	0.01237567	0.298873515534916
Alligator	15589	XM_014526077_AS	XM_006266104_AM	416	0.01209386	0.01571195	0.769723681656319
Alligator	15590	XM_014611478_AM	XM_014522180_AS	799	0.00329943	0.01939573	0.170111153331171
