Division	SeqNumber	I.ID1	I.ID2	P.ID1	P.ID2	NoSites	I.dn	I.ds	I.dnds	P.dn	P.ds	P.dnds
Tetrapods	24971	ENSPTRT00000002714.4	XM_003821027	jgi|Xentr4|469080|C_scaffold_435000006	27067299	1276	0.00210084	0.00414366	0.507001057036533	0.03550616	0.30811362	0.115237229694682
Tetrapods	24972	ENSPTRT00000025640.5	XM_003809914	jgi|Xentr4|434190|e_gw1.2824.9.1	27079504	1296	0.00243563	0.01501051	0.162261642009499	0.11193850	0.63050237	0.177538587206262
Tetrapods	24973	ENSPTRT00000037383.2	XM_003830711	jgi|Xentr4|207984|fgenesh_pm_kg.C_scaffold_34000032	27067974	457	0.00098007	0.00286260	0.342370572207085	0.01750343	0.29218861	0.059904559592518
Tetrapods	24975	ENSPTRT00000023949.2	XM_003818618	jgi|Xentr4|325067|e_gw1.77.427.1	27092755	260	0.00170843	0.00517243	0.330295431740981	0.01181791	0.28989002	0.0407668742787351
Tetrapods	24977	ENSPTRT00000050934.3	XM_008962555	jgi|Xentr4|187028|fgenesh1_pg.C_scaffold_853000003	27103758	857	0.00000000	0.00811257	0	0.01777051	0.45402047	0.0391403277477775
Tetrapods	24978	ENSPTRT00000036465.3	XM_003813488	jgi|Xentr4|305755|e_gw1.11.208.1	27082053	502	0.00000000	0.00536675	0	0.00803041	0.24038688	0.0334061908869569
Tetrapods	24979	ENSPTRT00000050451.4	XM_008962925	jgi|Xentr4|470074|C_scaffold_561000002	27083480	878	0.00584959	0.01366336	0.428122365216169	0.06215185	0.24784930	0.250764678375126
Tetrapods	24980	ENSPTRT00000007014.3	XM_008953887	jgi|Xentr4|361915|e_gw1.306.131.1	27077400	564	0.00077952	0.00985640	0.0790876993628505	0.06365679	0.45056776	0.141281280311756
Tetrapods	24982	ENSPTRT00000056719.2	XM_003823361	jgi|Xentr4|464672|C_scaffold_86000014	27060253	504	0.00175336	0.00542498	0.32320119152513	0.01214512	0.29039829	0.0418222848350794
Tetrapods	24983	ENSPTRT00000028565.3	XM_008950495	jgi|Xentr4|461711|estExt_fgenesh1_pg.C_16110002	27055642	703	0.00000000	0.00434469	0	0.15232612	0.51825369	0.29392192074889
Tetrapods	24986	ENSPTRT00000028744.5	XM_008954801	jgi|Xentr4|174986|fgenesh1_pg.C_scaffold_314000006	27106731	285	0.00000000	0.00524478	0	0.12200315	0.39622389	0.307914674200993
Tetrapods	24989	ENSPTRT00000017629.4	XM_003813331	jgi|Xentr4|380879|e_gw1.504.118.1	27099830	203	0.05182185	0.04821409	1.07482791856074	0.05213705	0.36891864	0.141323978642012
Tetrapods	24990	ENSPTRT00000039083.3	XM_003807859	jgi|Xentr4|428058|e_gw1.1532.8.1	27093737	617	0.00140154	0.00236967	0.591449442327413	0.08126684	0.54275457	0.149730365236722
Tetrapods	24993	ENSPTRT00000050003.4	XM_003820230	jgi|Xentr4|469064|C_scaffold_432000004	27082459	755	0.00000000	0.00192369	0	0.01267250	0.21726200	0.058328193609559
Tetrapods	24994	ENSPTRT00000032421.3	XM_008966604	jgi|Xentr4|352431|e_gw1.230.35.1	27081804	615	0.00556783	0.01758138	0.316689019860785	0.03837337	0.29974228	0.128021212089265
Tetrapods	24995	ENSPTRT00000029010.2	XM_003826443	jgi|Xentr4|318799|e_gw1.50.1.1	27102867	496	0.00356613	0.01387644	0.256991706806645	0.06229437	0.30400748	0.204910648909033
Tetrapods	24996	ENSPTRT00000026893.4	XM_003821610	jgi|Xentr4|323253|e_gw1.69.201.1	27087765	200	0.00000000	0.00655742	0	0.05555009	0.28991016	0.191611394371277
Tetrapods	24997	ENSPTRT00000042936.3	XM_003814799	jgi|Xentr4|180665|fgenesh1_pg.C_scaffold_503000008	27060476	883	0.00000000	0.00176419	0	0.00943219	0.28162990	0.0334914368112193
Tetrapods	24998	ENSPTRT00000018860.5	XM_003819256	jgi|Xentr4|411402|e_gw1.936.19.1	27079797	332	0.00985120	0.00715782	1.37628495826942	0.03850896	0.39357544	0.0978439101789482
Tetrapods	24999	ENSPTRT00000037984.4	XM_003823325	jgi|Xentr4|85484|gw1.330.67.1	27066486	145	0.00000000	0.01058219	0	0.10051610	0.34125186	0.294551068527509
Tetrapods	25000	ENSPTRT00000023843.1	XM_003820813	jgi|Xentr4|356357|e_gw1.264.89.1	27089329	558	0.00161334	0.00231303	0.69750068092502	0.01659272	0.32499155	0.0510558505290368
Tetrapods	25001	ENSPTRT00000005266.3	XM_008950712	jgi|Xentr4|207930|fgenesh_pm_kg.C_scaffold_32000007	27066334	776	0.00000000	0.00355451	0	0.01956289	0.28629723	0.0683306995320912
