Division	SeqNumber	ID1	ID2	NoSites	dn	ds	dnds
Chimp	1	XM_003820374	ENSPTRT00000008366.5	1116	0.00038013	0.00139665	0.272172698958221
Chimp	3	ENSPTRT00000009395.2	XM_003824901	396	0.00227747	0.01638514	0.13899606594756
Chimp	4	XM_008971524	ENSPTRT00000017865.4	523	0.03265075	0.03230295	1.01076681851038
Chimp	6	XM_003812200	ENSPTRT00000060173.2	926	0.00000000	0.00301281	0
Chimp	8	ENSPTRT00000012346.3	XM_003832846	125	0.00692446	0.01188144	0.582796361383805
Chimp	9	XM_008969771	ENSPTRT00000021531.5	627	0.00273707	0.00965614	0.283453843875503
Chimp	10	XM_003804867	ENSPTRT00000055792.2	121	0.00000000	0.01295929	0
Chimp	11	XM_008971174	ENSPTRT00000007939.4	604	0.00000000	0.00265840	0
Chimp	13	ENSPTRT00000059662.2	XM_003817418	553	0.00078288	0.00262928	0.297754518347228
Chimp	15	XM_008959420	ENSPTRT00000000121.3	747	0.00116988	0.00568095	0.205930346156893
Chimp	16	XM_008975160	ENSPTRT00000034765.4	330	0.00461135	0.01101341	0.418703199100006
Chimp	17	XM_003831556	ENSPTRT00000033205.5	558	0.00000000	0.00470774	0
Chimp	18	ENSPTRT00000002699.3	XM_008974514	907	0.00049607	0.00569939	0.0870391392763085
Chimp	19	ENSPTRT00000019070.3	XM_003819351	576	0.00316269	0.00435494	0.726230441751207
Chimp	23	XM_008966805	ENSPTRT00000003574.4	502	0.00468820	0.01849947	0.253423476456353
Chimp	24	XM_008967787	ENSPTRT00000054762.2	576	0.00382166	0.01210680	0.315662272441934
Chimp	25	XM_008955840	ENSPTRT00000006605.2	310	0.00000000	0.00457144	0
Chimp	26	ENSPTRT00000008743.3	XM_003816526	1216	0.00106724	0.00360145	0.296336197920282
Chimp	28	XM_003828976	ENSPTRT00000032251.3	906	0.00000000	0.00637454	0
Chimp	29	ENSPTRT00000009259.4	XM_003830994	235	0.00000000	0.00600003	0
Chimp	30	ENSPTRT00000008338.4	XM_003820382	613	0.00143868	0.00448264	0.320944800385487
Chimp	31	XM_003815067	ENSPTRT00000067289.2	549	0.00163466	0.00237248	0.68900896951713
Chimp	32	ENSPTRT00000012477.6	XM_003807004	573	0.00079565	0.01975965	0.0402664014797833
Chimp	33	ENSPTRT00000058865.3	XM_008952102	372	0.00117994	0.00374299	0.315239955222963
Chimp	36	ENSPTRT00000049726.3	XM_008955874	391	0.00168319	0.01619739	0.103917359525207
Chimp	37	ENSPTRT00000006944.3	XM_003826328	638	0.00070431	0.00610380	0.115388774206232
Chimp	38	ENSPTRT00000013126.3	XM_008953211	1302	0.00197813	0.00693780	0.285123526189858
Chimp	39	ENSPTRT00000031326.3	XM_003827381	614	0.00141610	0.00233827	0.60561868389878
Chimp	40	ENSPTRT00000026549.2	XM_003820169	290	0.00300150	0.00495870	0.605299776151007
Chimp	41	XM_008966368	ENSPTRT00000018709.2	161	0.12919065	0.23331314	0.553722134981339
Chimp	42	ENSPTRT00000021610.4	XM_003816626	690	0.00528986	0.01094244	0.483426000051177
Chimp	43	XM_003809811	ENSPTRT00000010807.2	272	0.00000000	0.00531446	0
Chimp	45	ENSPTRT00000029655.4	XM_008969527	434	0.00944503	0.02276882	0.414822990387732
Chimp	47	XM_003828384	ENSPTRT00000063759.2	208	0.00435573	0.00614128	0.709254422530808
Chimp	48	ENSPTRT00000021318.6	XM_008955568	310	0.00145596	0.00829310	0.175562817281837
Chimp	50	ENSPTRT00000008963.3	XM_008951073	1781	0.00241138	0.00337079	0.715375327445495
Chimp	52	XM_003832731	ENSPTRT00000023240.6	4153	0.03887319	0.20049726	0.193883896468211
Chimp	53	XM_008952303	ENSPTRT00000021704.3	495	0.00089579	0.00545457	0.164227427643242
Chimp	55	XM_003832517	ENSPTRT00000009929.4	238	0.00932848	0.02325768	0.401092456341303
Chimp	56	ENSPTRT00000009915.2	XM_003832528	963	0.00089572	0.00152866	0.585951094422566
Chimp	58	ENSPTRT00000030106.3	XM_008958069	313	0.04518804	0.08674226	0.520946076341566
Chimp	59	ENSPTRT00000003197.3	XM_003815625	307	0.00000000	0.00928086	0
Chimp	60	ENSPTRT00000016700.5	XM_003810438	2365	0.00392402	0.00522246	0.751373873615116
Chimp	65	ENSPTRT00000020545.2	XM_003811758	119	0.00000000	0.02500232	0
Chimp	67	XM_003822591	ENSPTRT00000030723.5	1545	0.00334822	0.00480925	0.696204189842491
Chimp	69	XM_003805188	ENSPTRT00000050914.3	502	0.00618378	0.00543481	1.13780978543868
Chimp	70	ENSPTRT00000048702.3	XM_008954741	710	0.00060441	0.00422388	0.143093553794142
Chimp	73	XM_003817500	ENSPTRT00000020769.5	187	0.00720294	0.00705058	1.02160956970916
Chimp	74	ENSPTRT00000003836.2	XM_003824465	690	0.00124799	0.00430340	0.290000929497607
Chimp	75	ENSPTRT00000066622.2	XM_003821660	332	0.00000000	0.02174065	0
Chimp	77	XM_003804420	ENSPTRT00000042859.3	523	0.00252898	0.00263100	0.961223869251235
Chimp	79	ENSPTRT00000067027.2	XM_008963299	294	0.25947329	0.43764559	0.592884507301902
Chimp	80	ENSPTRT00000027582.3	XM_003826301	986	0.00533632	0.01731054	0.30826999042202
Chimp	82	XM_003812322	ENSPTRT00000041630.4	216	0.01355558	0.00842030	1.6098690070425
Chimp	86	XM_003817958	ENSPTRT00000016663.5	970	0.00136317	0.00710317	0.191910090846763
Chimp	88	ENSPTRT00000058799.1	XM_003810649	172	0.00000000	0.00832186	0
Chimp	89	XM_003826339	ENSPTRT00000055547.2	297	0.00000000	0.00498755	0
Chimp	91	XM_003815815	ENSPTRT00000074657.1	296	0.00603018	0.00906355	0.665322086820286
Chimp	92	ENSPTRT00000024733.3	XM_003810626	950	0.00000000	0.00156617	0
Chimp	93	ENSPTRT00000047119.2	XM_008962428	157	0.00854710	0.02586463	0.330455142795393
Chimp	95	ENSPTRT00000036590.3	XM_008965974	297	0.00222113	0.00702033	0.316385412081768
Chimp	98	ENSPTRT00000073646.1	XM_003812624	141	0.01831686	0.06868476	0.266680119432608
Chimp	100	XM_003822117	ENSPTRT00000046470.3	273	0.00000000	0.00975624	0
Chimp	101	ENSPTRT00000032567.4	XM_003809858	1161	0.01011337	0.04448908	0.227322524988154
Chimp	103	XM_003830374	ENSPTRT00000006593.4	501	0.00088522	0.00809360	0.109372837797766
Chimp	105	ENSPTRT00000027872.4	XM_008971706	759	0.00059032	0.00171920	0.343369008841322
Chimp	106	ENSPTRT00000032667.5	XM_003805553	291	0.00152111	0.00936415	0.162439730247807
Chimp	108	XM_003813236	ENSPTRT00000017765.3	207	0.00432122	0.01937675	0.223010566787516
Chimp	110	ENSPTRT00000019322.5	XM_008955926	1258	0.00000000	0.00663476	0
Chimp	111	XM_003815609	ENSPTRT00000043692.1	171	0.00000000	0.01666735	0
Chimp	112	XM_003815043	ENSPTRT00000047537.4	259	0.00352942	0.00480002	0.73529276961346
Chimp	115	ENSPTRT00000065455.1	XM_003832192	1337	0.00000000	0.00336795	0
Chimp	116	ENSPTRT00000044137.3	XM_003819799	1382	0.00095193	0.00404109	0.235562682345605
Chimp	117	ENSPTRT00000014116.5	XM_008951384	391	0.00640470	0.02454541	0.260932695766744
Chimp	118	ENSPTRT00000044568.3	XM_003809443	762	0.00056428	0.00390753	0.144408360268507
Chimp	119	XM_003807562	ENSPTRT00000009281.3	536	0.00000000	0.00540543	0
Chimp	122	ENSPTRT00000027056.2	XM_008964824	284	0.07599741	0.15542872	0.488953457250372
Chimp	124	XM_003832152	ENSPTRT00000029809.5	1742	0.00049766	0.00249204	0.199699844304265
Chimp	125	XM_003822244	ENSPTRT00000031608.4	3396	0.00076969	0.00293625	0.262133673903789
Chimp	129	ENSPTRT00000049658.4	XM_008956466	1508	0.00128431	0.01740506	0.0737894612256436
Chimp	130	XM_003807995	ENSPTRT00000003990.3	147	0.00000000	0.00927369	0
Chimp	131	XM_008953152	ENSPTRT00000004209.3	174	0.06371601	0.15061789	0.423030823230892
Chimp	138	XM_003817743	ENSPTRT00000019778.2	308	0.00143713	0.00884314	0.162513541570076
Chimp	139	XM_003815020	ENSPTRT00000001412.4	547	0.00157895	0.00268577	0.587894719205293
Chimp	140	ENSPTRT00000033353.4	XM_003808578	448	0.00000000	0.00274851	0
Chimp	142	XM_003826107	ENSPTRT00000027579.3	117	0.17160429	0.30263542	0.567033065726411
Chimp	143	ENSPTRT00000039350.4	XM_003833073	622	0.00072917	0.00814257	0.0895503508106163
