Division	SeqNumber	I.ID1	I.ID2	P.ID1	P.ID2	NoSites	I.dn	I.ds	I.dnds	P.dn	P.ds	P.dnds
Amphibians	23085	Axolotl_contig_8250001_O	Notophthalmus_contig_11047_O	jgi|Xentr4|436023|e_gw1.3627.1.1	27062820	84	0.01038079	0.56425204	0.018397434593236	0.04232061	0.32000436	0.132250104342328
Amphibians	23086	Axolotl_contig_8246157_O	Notophthalmus_contig_35332_O	jgi|Xentr4|177659|fgenesh1_pg.C_scaffold_395000013	27088273	265	0.05159058	0.84639969	0.0609529760106599	0.03348771	0.40793766	0.0820902634976138
Amphibians	23087	Axolotl_contig_8302084_O	Notophthalmus_contig_49361_O	jgi|Xentr4|311007|e_gw1.26.120.1	27071253	177	0.02084319	1.08918925	0.0191364264750134	0.01328537	0.29314973	0.0453194004306264
Amphibians	23088	Axolotl_contig_8256754_O	Notophthalmus_contig_17999_O	jgi|Xentr4|156072|fgenesh1_pg.C_scaffold_17000037	27090433	406	0.08367745	0.80739413	0.103638913005226	0.02255405	0.14958727	0.150775196311825
Amphibians	23089	Axolotl_contig_8248106_O	Notophthalmus_contig_4793_O	jgi|Xentr4|8182|gw1.6989.1.1	27080702	163	0.03641164	0.71938672	0.0506148348137425	0.07129928	0.71313555	0.099979982767652
Amphibians	23090	Axolotl_contig_8273557_O	Notophthalmus_contig_6718_O	jgi|Xentr4|334566|e_gw1.122.131.1	27055212	554	0.11090275	0.90693850	0.122282547273051	0.03326532	0.28062336	0.118540808577019
Amphibians	23091	Axolotl_contig_8256702_O	Notophthalmus_contig_2463_O	jgi|Xentr4|210002|fgenesh_pm_kg.C_scaffold_200000002	27105165	217	0.18546498	0.54963293	0.337434258169357	0.06079795	0.22063360	0.275560703356152
Amphibians	23092	Axolotl_contig_8250158_O	Notophthalmus_contig_40961_O	jgi|Xentr4|454068|estExt_fgenesh1_pg.C_1780052	27069368	692	0.05552027	1.11947499	0.0495949177033423	0.02212881	0.37422849	0.0591318154317968
Amphibians	23093	Ambystoma_mexicanum_n_3541_O	Notophthalmus_contig_53039_O	jgi|Xentr4|385959|e_gw1.555.16.1	27076709	548	0.06700513	0.71296161	0.0939813996436638	0.04081348	0.33858284	0.12054208063232
Amphibians	23094	Axolotl_contig_8247956_O	Notophthalmus_contig_58982_O	jgi|Xentr4|364281|e_gw1.327.2.1	27055906	186	0.05414722	0.78036341	0.0693871846195351	0.01668722	0.29897936	0.055813953177236
Amphibians	23095	Axolotl_contig_8248288_O	Notophthalmus_contig_2247_O	jgi|Xentr4|341941|e_gw1.163.119.1	27060706	242	0.06848505	0.82992346	0.0825197181436467	0.01440404	0.26594095	0.0541625499946511
Amphibians	23096	Ambystoma_mexicanum_n_1119_O	Notophthalmus_contig_4427_O	jgi|Xentr4|211572|fgenesh_pm_kg.C_scaffold_456000005	27051833	324	0.07706956	0.79310380	0.0971746195138644	0.01759810	0.39527659	0.0445209770707646
Amphibians	23097	Axolotl_contig_8246481_O	Notophthalmus_contig_2816_O	jgi|Xentr4|194634|fgenesh1_pg.C_scaffold_9447000001	27096437	162	0.02746302	0.73598382	0.0373147061847093	0.50709109	1.67832010	0.302142058597761
Amphibians	23098	Axolotl_contig_8245422_O	Notophthalmus_contig_10745_O	jgi|Xentr4|391264|e_gw1.628.11.1	27085604	891	0.02140550	0.82806467	0.0258500341525258	0.00939168	0.23207125	0.0404689508071336
Amphibians	23099	Axolotl_contig_8260118_O	Notophthalmus_contig_59146_O	jgi|Xentr4|353324|e_gw1.238.77.1	27055775	165	0.05326595	0.93712524	0.0568397346762317	0.04960485	0.42598803	0.116446581844095
