Division	SeqNumber	ID1	ID2	NoSites	dn	ds	dnds
Bird	1	XM_013299319_FP	XM_014277935_FC	1029	0.00000000	0.00267917	0
Bird	2	XM_013302237_FP	XM_014283133_FC	598	0.00072120	0.00493321	0.146192844010289
Bird	4	XM_014281605_FC	XM_013302788_FP	478	0.00090498	0.01228277	0.0736788200055851
Bird	6	XM_005444468_FC	XM_005235799_FP	126	0.00000000	0.03327718	0
Bird	7	XM_013295886_FP	XM_014285072_FC	994	0.00000000	0.00281955	0
Bird	8	XM_013298568_FP	XM_014281782_FC	863	0.00000000	0.00890482	0
Bird	9	XM_005228930_FP	XM_005442482_FC	198	0.01810622	0.02877591	0.629214506161577
Bird	11	XM_013300354_FP	XM_014276465_FC	682	0.00062670	0.00446098	0.140484826204108
Bird	12	XM_014281776_FC	XM_013298561_FP	943	0.00000000	0.00153925	0
Bird	13	XM_014278992_FC	XM_005242890_FP	281	0.04732187	0.08396457	0.563593310845277
Bird	14	XM_014284850_FC	XM_013301149_FP	459	0.03459148	0.08190469	0.422338207982962
Bird	16	XM_005238536_FP	XM_005441921_FC	853	0.00000000	0.00509989	0
Bird	17	XM_005230997_FP	XM_005445381_FC	477	0.00090144	0.00625655	0.144079404783787
Bird	18	XM_005240982_FP	XM_005442394_FC	1680	0.00155353	0.00170576	0.910755323140418
Bird	19	XM_005445382_FC	XM_005230998_FP	137	0.00000000	0.01008419	0
Bird	20	XM_005447094_FC	XM_005230324_FP	177	0.00240192	0.01775231	0.13530182832544
Bird	21	XM_013303578_FP	XM_014280727_FC	930	0.00000000	0.00145208	0
Bird	22	XM_013294967_FP	XM_014276135_FC	1064	0.00000000	0.00129060	0
Bird	24	XM_013297801_FP	XM_014287504_FC	113	0.17469867	0.26133949	0.66847406031136
Bird	25	XM_014277118_FC	XM_013303656_FP	681	0.00318151	0.01510571	0.210616382811533
Bird	27	XM_005446261_FC	XM_005235114_FP	581	0.00075825	0.00711749	0.106533342512599
Bird	28	XM_005435799_FC	XM_005230166_FP	685	0.00247219	0.00693914	0.356267491360601
Bird	29	XM_005236321_FP	XM_005442790_FC	1549	0.00000000	0.00091033	0
Bird	30	XM_014279179_FC	XM_005234267_FP	805	0.00279018	0.00485701	0.574464536824095
Bird	31	XM_014286786_FC	XM_013305681_FP	431	0.00000000	0.00331126	0
Bird	34	XM_005234395_FP	XM_005446049_FC	254	0.00000000	0.01690212	0
Bird	35	XM_014287578_FC	XM_013297630_FP	458	0.00000000	0.00602413	0
Bird	36	XM_005443701_FC	XM_005237800_FP	163	0.00828738	0.01617313	0.512416582318945
Bird	37	XM_005441640_FC	XM_013298255_FP	325	0.00266697	0.00448264	0.594955204968501
Bird	38	XM_005442933_FC	XM_005237011_FP	546	0.00000000	0.00552743	0
Bird	40	XM_013296756_FP	XM_005438124_FC	232	0.00184162	0.00659345	0.279310527872358
Bird	42	XM_005438887_FC	XM_005230607_FP	375	0.01640983	0.04053636	0.404817551452572
Bird	43	XM_005244086_FP	XM_005436811_FC	1280	0.00033700	0.00460124	0.073241126305083
Bird	44	XM_005440315_FC	XM_005229223_FP	304	0.00570142	0.00968927	0.588426166264332
Bird	45	XM_005444489_FC	XM_005235792_FP	487	0.02415680	0.04873030	0.495724426075768
Bird	47	XM_005231942_FP	XM_005443080_FC	1043	0.00000000	0.00420071	0
Bird	48	XM_013303096_FP	XM_014285531_FC	769	0.00000000	0.00383755	0
Bird	49	XM_005242631_FP	XM_005441012_FC	371	0.00000000	0.00385357	0
Bird	50	XM_013295112_FP	XM_014281961_FC	746	0.00000000	0.00405681	0
Bird	51	XM_005239778_FP	XM_005432752_FC	485	0.00267102	0.00303798	0.87920921138388
Bird	52	XM_014287173_FC	XM_013300298_FP	253	0.01131276	0.01969171	0.574493530526298
Bird	53	XM_005236595_FP	XM_005440077_FC	348	0.05089283	0.14363811	0.354312863069557
Bird	54	XM_005236800_FP	XM_005435741_FC	712	0.00000000	0.00209864	0
Bird	55	XM_005439001_FC	XM_005235906_FP	367	0.00000000	0.01183457	0
Bird	56	XM_013302809_FP	XM_014286431_FC	519	0.00167434	0.00835275	0.200453742779324
Bird	58	XM_014277058_FC	XM_013303282_FP	333	0.00130492	0.00432278	0.301870555522141
Bird	60	XM_014277674_FC	XM_013299779_FP	153	0.00000000	0.00974040	0
Bird	61	XM_013301220_FP	XM_005444928_FC	341	0.05754693	0.09919792	0.58012234530724
Bird	62	XM_005242574_FP	XM_005446240_FC	427	0.00000000	0.00342858	0
Bird	63	XM_005234415_FP	XM_005446092_FC	277	0.00474810	0.01537202	0.308879379548036
Bird	64	XM_014286491_FC	XM_013300917_FP	1248	0.00248271	0.00984876	0.252083511020677
Bird	65	XM_005243735_FP	XM_005445702_FC	677	0.00135090	0.00365075	0.370033554749024
Bird	66	XM_014276367_FC	XM_013298221_FP	234	0.00961244	0.01128902	0.851485779987988
Bird	67	XM_014287334_FC	XM_013298742_FP	1904	0.00111570	0.00326664	0.341543604437587
Bird	68	XM_013304378_FP	XM_014284842_FC	287	0.00000000	0.00485046	0
Bird	70	XM_005445874_FC	XM_005242245_FP	375	0.00115340	0.00389611	0.296038869539104
Bird	71	XM_005242795_FP	XM_005440720_FC	706	0.01526230	0.04495400	0.339509276148952
Bird	73	XM_005234007_FP	XM_005437172_FC	766	0.00000000	0.00190901	0
Bird	75	XM_005432313_FC	XM_005235511_FP	253	0.00000000	0.01030944	0
Bird	77	XM_013295099_FP	XM_014281929_FC	1116	0.00000000	0.00838332	0
Bird	78	XM_005243194_FP	XM_005435241_FC	1785	0.00119622	0.00513774	0.23282999918252
Bird	79	XM_005231546_FP	XM_005443205_FC	333	0.00000000	0.00424630	0
Bird	80	XM_005438739_FC	XM_005236349_FP	409	0.00000000	0.00359282	0
Bird	81	XM_014277129_FC	XM_013305597_FP	1491	0.00000000	0.00383081	0
Bird	82	XM_013302063_FP	XM_014282588_FC	1070	0.01506803	0.02832055	0.532052873266939
Bird	83	XM_005233410_FP	XM_005435529_FC	350	0.00000000	0.00374533	0
Bird	84	XM_014283506_FC	XM_005240193_FP	348	0.00251178	0.00816057	0.307794676107184
Bird	85	XM_014284214_FC	XM_005240880_FP	290	0.00488601	0.00868496	0.562582901936221
Bird	86	XM_013297338_FP	XM_014277069_FC	278	0.00000000	0.01090928	0
Bird	87	XM_005243808_FP	XM_014284719_FC	392	0.05285494	0.10956946	0.482387519295979
Bird	88	XM_005243116_FP	XM_005435212_FC	186	0.00000000	0.02614644	0
Bird	89	XM_005237100_FP	XM_005442886_FC	715	0.00000000	0.00211193	0
Bird	90	XM_005432885_FC	XM_013301548_FP	734	0.00000000	0.00398937	0
Bird	91	XM_005238778_FP	XM_005441893_FC	465	0.00000000	0.00306123	0
Bird	92	XM_013295631_FP	XM_014283531_FC	257	0.00354506	0.00979606	0.361886309393777
Bird	94	XM_005232663_FP	XM_005439348_FC	422	0.00000000	0.00329128	0
Bird	95	XM_005243920_FP	XM_014284129_FC	1435	0.00105074	0.00361074	0.291004060109562
Bird	96	XM_014280224_FC	XM_013298120_FP	248	0.00532389	0.00562327	0.946760514789438
Bird	97	XM_013294703_FP	XM_014278228_FC	577	0.00151076	0.00742887	0.203363364818606
Bird	98	XM_005231376_FP	XM_005442104_FC	343	0.00392243	0.01541480	0.254458702026624
Bird	99	XM_013303994_FP	XM_014279306_FC	443	0.00299651	0.01864415	0.160721191365656
Bird	100	XM_005440370_FC	XM_005232974_FP	766	0.00056502	0.00762153	0.0741347209812203
Bird	101	XM_005244256_FP	XM_005432470_FC	1092	0.00000000	0.00393530	0
Bird	102	XM_013294567_FP	XM_014283297_FC	1125	0.00039203	0.00365186	0.107350774673728
Bird	103	XM_005433691_FC	XM_005239346_FP	485	0.00000000	0.01357503	0
Bird	104	XM_005229136_FP	XM_005444106_FC	289	0.00000000	0.00985236	0
Bird	105	XM_014280422_FC	XM_013298455_FP	261	0.00162250	0.01214601	0.133582962635466
Bird	106	XM_005434586_FC	XM_005231171_FP	1113	0.00118087	0.00125654	0.939779075875022
Bird	107	XM_005441105_FC	XM_005230746_FP	503	0.00000000	0.00625982	0
Bird	108	XM_005444333_FC	XM_005244206_FP	171	0.00000000	0.00742580	0
Bird	110	XM_014280796_FC	XM_013296631_FP	193	0.01491445	0.02564352	0.581606971273834
Bird	111	XM_005232203_FP	XM_005434707_FC	417	0.00843891	0.02043259	0.41301225150605
Bird	112	XM_013297802_FP	XM_014277503_FC	220	0.00000000	0.00647253	0
Bird	113	XM_013294616_FP	XM_014280882_FC	173	0.05275189	0.16414827	0.321367322360449
Bird	114	XM_005236992_FP	XM_005432870_FC	684	0.00125879	0.01090532	0.115428983285222
Bird	117	XM_013295754_FP	XM_014284991_FC	341	0.00125366	0.00446430	0.280818941379388
Bird	121	XM_005233045_FP	XM_005434134_FC	179	0.00000000	0.01704619	0
Bird	122	XM_014278388_FC	XM_013294423_FP	658	0.00063830	0.00741357	0.086098870045066
Bird	123	XM_005432530_FC	XM_005229996_FP	638	0.00135326	0.00230371	0.587426368770375
Bird	124	XM_005230591_FP	XM_005438850_FC	508	0.00343054	0.00849066	0.404036906436013
Bird	125	XM_005445070_FC	XM_005240038_FP	413	0.00430263	0.02655145	0.162048776997113
Bird	126	XM_014287511_FC	XM_005233761_FP	953	0.00748488	0.01465865	0.510611823053283
Bird	127	XM_005431847_FC	XM_005234179_FP	741	0.00057620	0.00411947	0.139872362221354
Bird	128	XM_014277131_FC	XM_013294841_FP	194	0.00000000	0.00796820	0
Bird	129	XM_005439701_FC	XM_013296208_FP	419	0.00000000	0.01068902	0
Bird	130	XM_005441827_FC	XM_005234675_FP	369	0.00116845	0.01207270	0.0967844806878329
Bird	132	XM_013304571_FP	XM_014285438_FC	416	0.00102863	0.01467937	0.070073170715092
Bird	133	XM_005233615_FP	XM_005443970_FC	183	0.00000000	0.00805377	0
Bird	137	XM_005433099_FC	XM_005234157_FP	609	0.00071318	0.00473001	0.150777693916081
Bird	138	XM_005437707_FC	XM_013301257_FP	603	0.00330599	0.01246723	0.265174381157643
Bird	139	XM_013303409_FP	XM_014278331_FC	196	0.09305770	0.18729408	0.496853397608723
Bird	141	XM_013300062_FP	XM_014278530_FC	969	0.00000000	0.00841327	0
Bird	142	XM_005437118_FC	XM_005229647_FP	455	0.00000000	0.01217683	0
Bird	143	XM_014276473_FC	XM_013300367_FP	803	0.00000000	0.00516353	0
Bird	144	XM_005436196_FC	XM_005239834_FP	855	0.00050830	0.00673028	0.0755243466839418
Bird	145	XM_005241547_FP	XM_005440439_FC	1019	0.00257972	0.01248007	0.206707173918095
Bird	146	XM_005241326_FP	XM_005437592_FC	630	0.00637374	0.01412108	0.451363493443844
Bird	148	XM_014278335_FC	XM_013296488_FP	679	0.00569984	0.01791130	0.31822592441643
Bird	149	XM_005238034_FP	XM_005445972_FC	296	0.00145138	0.01015244	0.142958737012974
Bird	151	XM_005235093_FP	XM_005435578_FC	659	0.00066174	0.00215285	0.307378591169845
Bird	152	XM_014277373_FC	XM_005241672_FP	156	0.00291829	0.00806459	0.361864645319849
Bird	153	XM_013304755_FP	XM_014282706_FC	194	0.22313019	0.19406161	1.14979047118078
Bird	155	XM_013297148_FP	XM_014276214_FC	1321	0.04724505	0.09826340	0.480800074086588
Bird	156	XM_005435961_FC	XM_005241649_FP	243	0.00363417	0.02290254	0.158679779622697
Bird	157	XM_005439233_FC	XM_005232453_FP	445	0.00000000	0.00610690	0
Bird	158	XM_005238227_FP	XM_005443220_FC	305	0.00000000	0.00920257	0
Bird	159	XM_005441803_FC	XM_005228767_FP	349	0.00000000	0.00395779	0
Bird	160	XM_005240316_FP	XM_005432028_FC	391	0.00113272	0.00346221	0.327166751872359
Bird	161	XM_014277942_FC	XM_013297723_FP	345	0.00128811	0.00388602	0.331472817947412
Bird	163	XM_005446720_FC	XM_005232870_FP	584	0.00147984	0.01263188	0.117151207896212
Bird	164	XM_005435830_FC	XM_005236759_FP	807	0.00000000	0.00380953	0
Bird	165	XM_005434775_FC	XM_005236389_FP	381	0.01433165	0.02736906	0.523644217229236
Bird	166	XM_014287112_FC	XM_013303827_FP	4540	0.00028706	0.00506906	0.0566298288045515
Bird	167	XM_005439335_FC	XM_005232646_FP	436	0.00199518	0.00992570	0.201011515560615
Bird	168	XM_005229815_FP	XM_005446410_FC	873	0.00145861	0.00897811	0.162462923711115
Bird	169	XM_014282619_FC	XM_013302081_FP	555	0.00078003	0.00524937	0.148594974254053
Bird	170	XM_005443861_FC	XM_005229754_FP	510	0.00000000	0.00602413	0
