Division	SeqNumber	ID1	ID2	NoSites	dn	ds	dnds
Urodele	9959	Axolotl_contig_8251665_O	Notophthalmus_contig_54756_O	1330	0.03719725	0.75762348	0.0490972771857599
Urodele	9960	Notophthalmus_contig_45963_O	Axolotl_contig_8259942_O	279	0.01106594	0.54112265	0.0204499663800804
Urodele	9961	Notophthalmus_contig_42130_O	Axolotl_contig_8248415_O	179	0.07080428	1.31432563	0.0538711856360893
Urodele	9962	Notophthalmus_contig_245_O	Axolotl_contig_8248475_O	1448	0.09547065	0.56094242	0.170196880456999
Urodele	9964	Notophthalmus_contig_59650_O	Axolotl_contig_8279645_O	348	0.13476966	0.94971155	0.141905887108565
Urodele	9965	Notophthalmus_contig_11729_O	Axolotl_contig_8252880_O	221	0.02317565	0.86182977	0.0268912154194906
Urodele	9966	Axolotl_contig_8252252_O	Notophthalmus_contig_10597_O	499	0.03813621	0.85422269	0.0446443420977263
Urodele	9967	Notophthalmus_contig_59115_O	Axolotl_contig_8259139_O	218	0.14452318	0.82154505	0.175916317674849
Urodele	9968	Axolotl_contig_8246400_O	Notophthalmus_contig_18478_O	294	0.07069048	0.85911209	0.0822831861206842
Urodele	9969	Axolotl_contig_8273426_O	Notophthalmus_contig_7368_O	787	0.09883976	0.93044616	0.1062283496339
Urodele	9971	Axolotl_contig_8252014_O	Notophthalmus_contig_2186_O	566	0.22951364	0.53317011	0.430469817597239
Urodele	9972	Notophthalmus_contig_652_O	Axolotl_contig_8256303_O	442	0.02974122	0.68114345	0.043663665854821
Urodele	9973	Axolotl_contig_8246415_O	Notophthalmus_contig_2969_O	76	0.07201931	1.73757730	0.0414481185959324
Urodele	9974	Axolotl_contig_8262350_O	Notophthalmus_contig_8215_O	551	0.07288386	0.77142202	0.0944798801569081
Urodele	9975	Axolotl_contig_8278232_O	Notophthalmus_contig_5693_O	172	0.08476143	1.01607741	0.083420248463156
Urodele	9976	Axolotl_contig_8270506_O	Notophthalmus_contig_1577_O	592	0.02738467	0.90637014	0.0302135615367911
Urodele	9977	Notophthalmus_contig_5488_O	Axolotl_contig_8258822_O	1229	0.13090480	0.93112601	0.140587631098395
Urodele	9978	Notophthalmus_contig_57645_O	Axolotl_contig_8257029_O	440	0.00443387	0.91304687	0.00485612529398409
Urodele	9979	Notophthalmus_contig_11663_O	Axolotl_contig_8261621_O	425	0.04131403	0.65335886	0.0632332895891241
Urodele	9980	Axolotl_contig_8263998_O	Notophthalmus_contig_47125_O	285	0.14280370	0.97922928	0.145832751242896
Urodele	9981	Notophthalmus_contig_57959_O	Axolotl_contig_8264451_O	549	0.28782289	1.06334210	0.270677602250489
Urodele	9982	Notophthalmus_contig_10306_O	Axolotl_contig_8250069_O	353	0.01465994	0.72485344	0.0202246953535876
Urodele	9983	Notophthalmus_contig_35297_O	Axolotl_contig_8270862_O	240	0.17362814	0.95019829	0.182728322948255
Urodele	9984	Notophthalmus_contig_5372_O	Axolotl_contig_8262197_O	794	0.08260831	0.81665989	0.101153872023763
Urodele	9985	Axolotl_contig_8257310_O	Notophthalmus_contig_13730_O	275	0.04530900	0.53529717	0.0846427041637452
Urodele	9986	Axolotl_contig_8281250_O	Notophthalmus_contig_41794_O	180	0.09583089	0.68243472	0.140424991858562
Urodele	9987	Axolotl_contig_8272371_O	Notophthalmus_contig_19499_O	56	0.06813192	0.66944146	0.101774276125653
Urodele	9988	Notophthalmus_contig_10333_O	Axolotl_contig_8254065_O	374	0.03289017	0.81052464	0.0405788650669522
Urodele	9989	Ambystoma_mexicanum_n_3571_O	Notophthalmus_viridescens_n_634_O	149	0.06725002	0.54179671	0.124124083366988
Urodele	9990	Axolotl_contig_8256747_O	Notophthalmus_contig_6307_O	512	0.13111166	0.95259220	0.137636713800512
Urodele	9991	Notophthalmus_contig_3808_O	Axolotl_contig_8266918_O	309	0.01534759	0.99866798	0.0153680605640325
Urodele	9992	Axolotl_contig_8249969_O	Notophthalmus_contig_36318_O	263	0.06936348	0.68234190	0.101655020745465
Urodele	9993	Notophthalmus_contig_1736_O	Axolotl_contig_8261732_O	334	0.04702489	0.53628233	0.0876868160097686
Urodele	9994	Notophthalmus_contig_9958_O	Axolotl_contig_8257902_O	126	0.10632296	0.73792751	0.144083204053471
Urodele	9995	Axolotl_contig_8300964_O	Notophthalmus_contig_46415_O	734	0.11645160	0.94414475	0.123340833066116
Urodele	9996	Notophthalmus_contig_1358_O	Axolotl_contig_8255986_O	622	0.22139175	0.77921602	0.284121147817264
Urodele	9998	Axolotl_contig_8251295_O	Notophthalmus_contig_2618_O	1362	0.14614883	0.71280495	0.205033410612539
Urodele	9999	Notophthalmus_contig_3213_O	Axolotl_contig_8250075_O	675	0.03172269	0.80919926	0.0392025692163881
Urodele	10000	Notophthalmus_contig_3483_O	Axolotl_contig_8247958_O	630	0.07642460	0.74042409	0.103217333190766
Urodele	10001	Axolotl_contig_8292487_O	Notophthalmus_contig_9554_O	96	0.07153055	1.54236585	0.0463771614237958
Urodele	10002	Axolotl_contig_8251214_O	Notophthalmus_contig_480_O	898	0.19351528	0.99010410	0.195449427994491
Urodele	10003	Notophthalmus_contig_7608_O	Axolotl_contig_8247080_O	231	0.05942289	0.68807470	0.0863611029442007
Urodele	10004	Axolotl_contig_8249961_O	Notophthalmus_contig_1091_O	92	0.09989806	0.61172471	0.16330558234275
Urodele	10005	Axolotl_contig_8282890_O	Notophthalmus_contig_30760_O	148	0.12388630	0.88670911	0.139714703055211
Urodele	10006	Notophthalmus_contig_42696_O	Axolotl_contig_8257826_O	175	0.04531145	0.65542138	0.0691333108480532
Urodele	10007	Axolotl_contig_8288984_O	Notophthalmus_contig_8448_O	381	0.04740017	0.72054436	0.0657838332118789
Urodele	10008	Notophthalmus_contig_2568_O	Axolotl_contig_8257995_O	213	0.04637937	1.11605779	0.0415564233461423
Urodele	10009	Notophthalmus_contig_709_O	Axolotl_contig_8274297_O	164	0.05651630	0.87886177	0.0643062446555162
Urodele	10010	Notophthalmus_contig_7304_O	Axolotl_contig_8265026_O	140	0.14807640	1.11320608	0.133017958364007
Urodele	10011	Axolotl_contig_8258519_O	Notophthalmus_contig_16263_O	126	0.28247700	0.97553944	0.289559794732646
Urodele	10012	Notophthalmus_contig_56352_O	Axolotl_contig_8334181_O	102	0.27989451	2.12383320	0.131787425679192
Urodele	10013	Notophthalmus_contig_12194_O	Axolotl_contig_8249885_O	341	0.16468528	1.06157090	0.155133566679343
Urodele	10014	Axolotl_contig_8256432_O	Notophthalmus_contig_11408_O	261	0.01510963	0.37036071	0.0407970651098493
Urodele	10015	Axolotl_contig_8247164_O	Notophthalmus_contig_7706_O	374	0.00572850	0.72235023	0.00793036364091696
Urodele	10016	Axolotl_contig_8250315_O	Notophthalmus_contig_2387_O	374	0.10153855	1.06716027	0.0951483604238752
Urodele	10017	Axolotl_contig_8251592_O	Notophthalmus_contig_3726_O	541	0.00484981	0.66894615	0.00724992587220959
Urodele	10018	Axolotl_contig_8292745_O	Notophthalmus_contig_21014_O	51	0.02645388	0.76328785	0.03465780308176
Urodele	10019	Axolotl_contig_8248638_O	Notophthalmus_contig_1296_O	407	0.01723131	0.66288333	0.0259944838256832
Urodele	10020	Notophthalmus_contig_36332_O	Axolotl_contig_8291728_O	243	0.19651302	0.73150396	0.268642455469414
Urodele	10021	Notophthalmus_contig_8939_O	Axolotl_contig_8252495_O	223	0.02945887	0.41814836	0.0704507605865057
Urodele	10022	Notophthalmus_contig_4135_O	Axolotl_contig_8263127_O	477	0.05773900	0.72568802	0.0795644938440626
Urodele	10023	Notophthalmus_contig_1999_O	Axolotl_contig_8248006_O	924	0.06814637	0.76948348	0.0885611865247581
Urodele	10024	Notophthalmus_contig_50185_O	Axolotl_contig_8250812_O	471	0.02201391	0.87696400	0.0251024101331412
Urodele	10025	Axolotl_contig_8251747_O	Notophthalmus_contig_805_O	484	0.08020540	0.92695583	0.0865255898978487
Urodele	10026	Axolotl_contig_8301008_O	Notophthalmus_contig_7993_O	410	0.03448574	0.93568419	0.0368561747313482
Urodele	10027	Axolotl_contig_8330825_O	Notophthalmus_contig_5597_O	153	0.02317346	0.76521428	0.0302836219940903
Urodele	10028	Axolotl_contig_8247825_O	Notophthalmus_contig_38786_O	264	0.17333587	3.09502378	0.0560046973209363
Urodele	10029	Axolotl_contig_8275143_O	Notophthalmus_contig_1849_O	487	0.09720864	0.75640303	0.128514345057555
Urodele	10030	Axolotl_contig_8245052_O	Notophthalmus_contig_52288_O	130	0.05119634	0.52244214	0.0979942774141458
Urodele	10031	Notophthalmus_contig_7183_O	Axolotl_contig_8245060_O	358	0.09132677	0.71620050	0.127515646805608
Urodele	10032	Notophthalmus_contig_9875_O	Ambystoma_mexicanum_n_3192_O	135	0.09351286	0.73100654	0.127923424597542
Urodele	10034	Notophthalmus_contig_10815_O	Axolotl_contig_8247766_O	327	0.04749940	0.64285171	0.0738885799961549
Urodele	10035	Notophthalmus_contig_3109_O	Axolotl_contig_8255937_O	392	0.13325368	0.74423463	0.179047943522865
Urodele	10036	Notophthalmus_contig_2710_O	Axolotl_contig_8249765_O	274	0.03778727	0.98456044	0.0383798378086367
Urodele	10037	Notophthalmus_contig_6454_O	Axolotl_contig_8260485_O	529	0.07945406	0.71246785	0.111519502248417
Urodele	10038	Axolotl_contig_8247308_O	Notophthalmus_contig_37132_O	299	0.05313299	0.75290019	0.0705710938922728
Urodele	10039	Axolotl_contig_8250312_O	Notophthalmus_contig_6788_O	251	0.00689858	0.69126119	0.00997970101576222
