SeqNumber	rrtf_1v2.p	rrtf_1v2.d1	rrtf_1v2.d2	rrtf_1v3.p	rrtf_1v3.d1	rrtf_1v3.d2	rrtf_1v4.p	rrtf_1v4.d1	rrtf_1v4.d2	rrtf_2v3.p	rrtf_2v3.d1	rrtf_2v3.d2	rrtf_2v4.p	rrtf_2v4.d1	rrtf_2v4.d2	rrtf_3v4.p	rrtf_3v4.d1	rrtf_3v4.d2
34470	0.598906	0.00495918	0	0.524793	0.069024	0.097866	0.524854	0.0691282	0.0980889	0.490181	0.0728911	0.111376	0.490176	0.0728891	0.111342	0.991452	0	0
34472	0.258568	0.00971446	0	0.922152	0.116391	0.10861	0.922133	0.11645	0.108661	0.899625	0.0952662	0.104351	0.899619	0.0952637	0.104344	1	0	0
34475	0.0710109	0.0064663	0	0.640872	0.0442265	0.0530875	0.640872	0.0442184	0.0530726	0.335774	0.0364783	0.0536587	0.335759	0.0364926	0.0536863	1	0	0
34476	0.995738	0	0	1.08107e-08	0.020023	0.293348	2.00175e-08	0.0190426	0.270211	1.08105e-08	0.019966	0.292312	2.00176e-08	0.0189948	0.269508	0.529141	0.0154923	0.00616488
34477	0.328875	0	0.00465517	0.382669	0.369821	0.279788	0.38262	0.368833	0.279342	0.33822	0.365267	0.268776	0.338217	0.365288	0.268824	1	0	0
34478	0.963733	0.0142756	0.0157623	0.0902639	0.853745	0.000341029	0.0902692	0.852792	0.000343534	0.074536	0.775709	0	0.0745616	0.769223	0	1	0	0
34479	0.998365	0.00559826	0.00559772	0.234005	0.0865691	0.16111	0.234001	0.0866117	0.161243	0.226281	0.0814821	0.156552	0.22628	0.0815232	0.156656	1	0	0
34480	1	0	0	0.199891	0.0138186	0.0311847	0.19989	0.0138164	0.0311827	0.199891	0.0138186	0.0311848	0.199891	0.0138181	0.0311837	0.988131	0	0
34481	0.253189	0	0.00594155	0.29194	0.113766	0.0828929	0.291979	0.11361	0.0827891	0.258029	0.117971	0.0840344	0.258033	0.117997	0.0840653	0.992209	0	0
34483	0.249526	0.00285317	0	0.888092	0.0335857	0.0367934	0.888082	0.0336364	0.0368073	0.692219	0.0327406	0.0414679	0.692248	0.0326986	0.0413992	0.994495	0	0
34484	1	0	0	0.32005	0.0250164	0.0445684	0.320017	0.0250878	0.044735	0.319974	0.025088	0.0447353	0.319975	0.025088	0.0447353	1	0	0
34485	1	0	0	0.346112	0.106236	0.183951	0.346145	0.106042	0.183492	0.34613	0.106096	0.183633	0.346143	0.106028	0.183503	0.996843	0	0
34486	8.84881e-12	0.00201645	0.00392595	0.569117	0.13444	0.111952	0.569151	0.134367	0.111931	0.548579	0.133111	0.111185	0.548576	0.133111	0.111185	0.996988	0	0
34487	0.115601	0	0.00280446	0.652544	0.0318564	0.0376675	0.652592	0.03187	0.0376802	0.882198	0.0348682	0.0367808	0.882259	0.0348664	0.0367781	0.990366	0	0
34489	0.557584	0.00299063	0.00570655	0.406608	0.189991	0.246251	0.406661	0.189799	0.245891	0.484556	0.193638	0.241291	0.484556	0.193631	0.241282	0.992886	0	0
34490	0.600739	0	0.0462446	0.04938	0.33898	0	0.169747	0.25835	0.0856619	0.0365079	0.367322	0	0.155812	0.28824	0.074196	0.246975	0	0.00818671
34491	0.735195	0	0.0303701	0.133311	0.354787	0.500736	0.133304	0.354883	0.500919	0.132066	0.346843	0.490778	0.13207	0.346558	0.490387	1	0	0
34493	1	0	0	0.398404	0.0557055	0.0844845	0.398426	0.0551384	0.0835947	0.398378	0.055318	0.0838786	0.398397	0.055664	0.0844236	0.993879	0	0
34494	0.559652	0.00663896	0.0155568	0.53969	0.108447	0.0807579	0.539655	0.108422	0.08082	0.405622	0.10869	0.0720955	0.405627	0.108673	0.0720921	0.999374	0	0
34495	0.988574	0.0235697	0.0239092	0.0943216	0.0982841	0.0297149	0.0943144	0.0978484	0.0295666	0.0986473	0.0960786	0.0299055	0.0986479	0.0959611	0.0298523	0.997203	0	0
34496	1	0	0	0.0408505	0	0.012573	0.040874	0	0.0132844	0.0408738	0	0.0132831	0.0408735	0	0.0132776	1	0	0
34497	0.257201	0.00478043	0	0.0406564	0.111127	0.040343	0.0406567	0.111104	0.040329	0.0592335	0.102344	0.039501	0.059234	0.10232	0.0395374	0.997523	0	0
34498	0.635465	0.00325923	0.00527067	0.638685	0.0476813	0.0551715	0.750808	0.0497948	0.0548701	0.742122	0.0442505	0.0491595	0.861194	0.0463152	0.0489333	0.248953	0.00156565	0
34499	0.112944	0	0.00426023	0.0802679	0.0610006	0.122825	0.0971433	0.0617465	0.116538	0.135805	0.0723353	0.129119	0.160979	0.0725058	0.122193	0.264885	0.00209231	0
34501	0.992616	0	0	0.544473	0.00344327	0.00729591	0.544212	0.00329884	0.00699159	0.54429	0.00328895	0.00696968	0.544288	0.00329007	0.00697264	1	0	0
34502	0.464831	0.0167621	0	0.370475	0.386206	0.508497	0.372473	0.390634	0.517973	0.237934	0.360985	0.519042	0.240988	0.36548	0.530487	0.90391	0.00864662	0.00570151
34503	0.177901	0.00734947	0	0.958877	0.0798283	0.0784726	0.846461	0.0793732	0.0746196	0.87635	0.0815285	0.0858881	0.983358	0.0809928	0.0814243	0.26536	0.00164639	0
34504	0.0448079	0	0.00128949	0.478041	0.0117817	0.00936094	0.478007	0.0117268	0.0093184	0.255077	0.0129101	0.00906078	0.255083	0.0129094	0.00906022	0.995054	0	0
34506	0.57773	0.0108668	0	0.212835	0.213259	0.320924	0.187859	0.209167	0.323631	0.182797	0.216928	0.349031	0.160967	0.212422	0.352293	0.284711	0	0.00183164
34507	0.797922	0.00983413	0.0161224	0.570436	0.189968	0.259959	0.544079	0.172109	0.236852	0.554895	0.207017	0.290601	0.515765	0.185529	0.264802	0.870637	0	0.00945922
34508	0.240783	0	0.00123547	0.47892	0.013677	0.019406	0.478919	0.0137302	0.0194766	0.721748	0.0160218	0.0193492	0.721868	0.0160419	0.0193655	1	0	0
34509	0.965188	0.0036712	0.0039213	0.0272544	0.0401076	0.0970291	0.027254	0.0400987	0.0969869	0.0284042	0.0405672	0.0969137	0.0284042	0.0405646	0.0969073	1	0	0
34510	0.0534782	0.00288577	0	0.564671	0.0696713	0.080929	0.644266	0.0684716	0.0770827	0.383169	0.0628524	0.0791852	0.447582	0.0618407	0.0754198	0.405087	0.00204894	0
34514	0.274645	0.00304852	0	0.626758	0.0409926	0.0525912	0.626755	0.0409944	0.0525981	0.501677	0.0368332	0.0524614	0.501698	0.0368322	0.0524636	1	0	0
34515	1	0	0	0.849903	0.0383279	0.0424522	0.849986	0.0383146	0.0424339	0.85002	0.0383122	0.042431	0.849979	0.0383174	0.0424364	1	0	0
34516	0.248101	0.00131577	0	0.206684	0.0271779	0.0426713	0.206686	0.027193	0.042689	0.151452	0.0246457	0.0417072	0.151416	0.0245696	0.0415596	0.998791	0	0
34519	0.423752	0.0100544	0.0220641	0.107525	0.196981	0.406194	0.135007	0.199998	0.374848	0.162309	0.191385	0.364182	0.200155	0.194043	0.336109	0.847247	0.00411686	0.00292058
34520	0.149553	0.00516409	0.0012364	0.0508212	0.0864268	0.132404	0.0529913	0.0884457	0.134419	0.0247839	0.0838447	0.136961	0.0260252	0.0859208	0.139149	0.978703	0.000832572	0.000784965
34523	0.987623	0.0252165	0.0254377	0.225311	0.131839	0.239068	0.225311	0.131674	0.238796	0.255358	0.149205	0.256632	0.255358	0.149198	0.256614	1	0	0
34524	0.363878	0	0.0104098	0.0568483	0	0.152383	0.0568349	0	0.15497	1	0	0.177269	0.415077	0	0.185374	1	0	0
34525	0.553823	0.0014046	0.00310983	0.457188	0.0176363	0.0113432	0.457484	0.0174405	0.011231	0.350516	0.0207734	0.0126461	0.35055	0.0207798	0.0126486	1	0	0
34526	0.998928	0	0	0.0318434	0.0660792	0.241701	0.0318447	0.066075	0.241471	0.0318436	0.0660736	0.241658	0.0318431	0.066057	0.241776	1	0	0
34527	0.469529	0.00511183	0.0105766	0.00732563	0.0823794	0.187186	0.00732632	0.0822969	0.186804	0.0118569	0.0872466	0.2019	0.0118569	0.0872501	0.201874	1	0	0
34528	0.558005	0.00883098	0	0.55181	0.0110642	0.0265255	0.551814	0.011058	0.0265116	0.531599	0.00880898	0.0197485	0.531599	0.00880759	0.019747	1	0	0
34529	0.988178	0	0	0.0166031	0	0.756445	0.0166024	0	0.756854	0.0166025	0	0.756885	0.0166015	0	0.758291	1	0	0
34531	0.135783	0	0.00301201	0.736269	0.0495536	0.0442379	0.834123	0.0476392	0.0443654	0.587652	0.0506962	0.042152	0.677787	0.0487834	0.0422882	0.262003	0	0.00148353
34532	0.985413	0.00119467	0.00123266	0.631185	0.0181352	0.0141561	0.631164	0.0181257	0.0141488	0.628106	0.0204487	0.015926	0.628062	0.0204516	0.0159282	0.995759	0	0
34533	0.994587	0.00424682	0.00422112	0.425574	0.0309492	0.0206315	0.425588	0.0310655	0.0206872	0.408811	0.030346	0.0193862	0.408814	0.0303459	0.0193861	0.999024	0	0
34534	1	0.00182444	0.00182466	0.419463	0.0218578	0.03272	0.419461	0.0218577	0.032721	0.419455	0.0218567	0.0327268	0.419456	0.0218601	0.0327292	0.996136	0	0
34535	0.985454	0	0	0.565993	0.00575889	0.00404556	0.570193	0.00573518	0.004038	0.565976	0.00568589	0.00398706	0.56969	0.005642	0.00397197	1	0.000931883	0.000941669
34536	0.317471	0.00217092	0	0.0154851	0.00215166	0.0267641	0.015485	0.00215323	0.0267459	0.00813994	0.00122914	0.0273808	0.00813971	0.00122991	0.0273786	1	0	0
34537	0.999589	0	0	0.872803	0.0240539	0.0200241	0.864566	0.0163562	0.0198425	0.872805	0.0240619	0.0200309	0.864563	0.0163576	0.0198365	0.388272	0	0.00623489
34538	0.0621043	0.00133556	0.0176928	0.0139601	0.204961	0.392908	0.0128708	0.198058	0.379757	0.0404065	0.216531	0.376255	0.0379602	0.209526	0.364191	0.729454	0	0.00358703
34540	0.993495	0	0	0.310049	0.105695	0.184048	0.310015	0.106089	0.18483	0.310013	0.106068	0.18481	0.310013	0.106067	0.184807	0.982167	0	0
34541	0.181133	0.00756538	0	0.758631	0.0719204	0.0828979	0.00011791	0.0445754	0.211714	0.477195	0.061188	0.0856161	3.14638e-05	0.0352988	0.213084	1.93302e-07	0	0.0934669
34542	0.118916	0.0034842	0	0.00905478	0.0529392	0.0857318	0.00905443	0.0529483	0.0857799	0.00490058	0.0501352	0.0836434	0.0049006	0.0501418	0.0836522	1	0	0
34543	0.289721	0.00246885	0	0.916157	0.176486	0.186352	0.916157	0.176495	0.18636	0.879036	0.180446	0.195341	0.879037	0.180458	0.195354	1	0	0
34544	0.873907	0	0	0.751684	0.000312458	0.000248779	0	0.0180509	0.259753	0.765494	0.000323993	0.000258075	0	0.0180564	0.259881	0	0.0132252	0.261977
34546	0.742726	0.0033687	0.00457404	0.474818	0.180169	0.205778	0.440073	0.179276	0.206941	0.501175	0.183363	0.208016	0.465398	0.182422	0.209088	0.476861	5.72296e-05	0.00252957
34548	0.251623	0.00233378	0	0.554256	0.0306418	0.0221863	0.554245	0.0306482	0.0221914	0.699099	0.0265502	0.0213705	0.699041	0.0265247	0.0213557	0.993725	0	0
34549	0.74132	0.00903183	0.01246	0.00156965	0.142069	0.312397	0.00129279	0.14262	0.317337	0.00227733	0.144197	0.302447	0.00188209	0.144771	0.307424	0.359045	0	0.00220942
34550	0.918069	0.0122095	0.0112438	0.0190833	0.132096	0.233128	0.0296776	0.136344	0.232086	0.0189369	0.142307	0.248349	0.0291822	0.147109	0.248138	0.404597	0.00682708	0
34551	0.625642	0.00368825	0.0021727	0.423035	0.015223	0.0106513	0.423016	0.0153213	0.0107167	0.562953	0.0167615	0.0129321	0.562815	0.0168092	0.0129681	1	0	0
34552	0.542275	0.0178308	0.00963439	0.515134	0.136508	0.0957431	0.964232	0.118962	0.121313	0.675276	0.14148	0.115894	0.799935	0.12416	0.136141	0.130382	0.00285855	0.032113
34553	1	0	0	0.0597647	0.00130425	0.036536	0.11642	0.00146692	0.0213166	0.0597643	0.00130358	0.0365552	0.116421	0.00146594	0.0213113	0.24552	0.00787433	0
34554	0.680429	0.00704132	0.00396769	0.00224215	0.205086	0.396771	0.00171901	0.206928	0.40638	0.00189144	0.194505	0.379769	0.00144504	0.196313	0.389009	0.298113	0	0.00347549
34555	0.927787	0.0010322	0.00119536	0.00715979	0.0700386	0.127987	0.00577307	0.070382	0.130558	0.00785289	0.0692178	0.126785	0.0063495	0.0695474	0.129364	0.576315	0.00109013	0.00246618
34556	0.629923	0.00938613	0.024172	0.802976	3.97127	3.28736	0.80532	3.7062	3.10812	0.919078	1.58952	1.5119	0.745971	3.15775	2.6035	0.519138	0.0339052	0
34558	0.0563975	0.0148489	0	0.0914413	0.0836187	0.0293851	0.0914424	0.0837202	0.0294529	0.331655	0.0748971	0.0436665	0.331651	0.074911	0.043707	1	0	0
34559	0.249299	0	0.00261624	0.797199	0.0106959	0.00866999	0.797271	0.0106817	0.00866082	0.573488	0.0124138	0.00787283	0.573526	0.012308	0.0077972	0.988366	0	0
34560	1	0	0	0.102724	0.00677626	0.0150324	0.102723	0.00677556	0.015031	0.102722	0.00677677	0.015036	0.102724	0.00677588	0.015034	0.996512	0	0
34561	0.191647	0	0.0186979	0.428691	0.37083	0.271046	0.428687	0.370911	0.271052	0.407634	0.370212	0.268778	0.407634	0.370218	0.26878	1	0	0
34562	0.261437	0.00283207	0	0.697743	0.10511	0.0837791	0.697629	0.105287	0.0838664	0.846884	0.0996273	0.0885399	0.846885	0.0996266	0.0885397	1	0	0
34563	1	0	0	0.738692	0.0101656	0.0127595	0.738661	0.0101266	0.0127099	0.738643	0.010148	0.0127349	0.738662	0.0101259	0.012709	0.998163	0	0
34564	1	0	0	0.162927	0.00443167	0.0197762	0.163003	0.00439283	0.0195978	0.162993	0.00440186	0.0196392	0.162995	0.00440588	0.0196577	0.987941	0	0
34565	1	0.00322712	0.00325099	0.098412	0.0239163	0.0471973	0.098413	0.0238918	0.0471114	0.106175	0.023066	0.0437768	0.10617	0.0230319	0.0436723	0.995309	0	0
34566	0.243894	0.00182196	0	0.383515	0.030458	0.0208524	0.383366	0.0303116	0.0207477	0.495473	0.0287052	0.0211519	0.495455	0.0287442	0.0211654	1	0	0
34568	0.990627	0.00275302	0.00280967	0.181326	0.0222433	0.0105128	0.832017	0.02186	0.0239589	0.173807	0.0221963	0.0105953	0.847898	0.0218761	0.0237336	0.0135608	0.00130547	0.0134576
34569	0.457789	0.00400097	0.0132429	0.320536	0.174998	0.109799	0.320534	0.175013	0.109789	0.251591	0.184883	0.112183	0.251597	0.18478	0.112126	1	0	0
34570	0.256274	0	0.00642464	0.120357	0.069431	0.0232261	0.632718	0.0544483	0.069443	0.0718267	0.0765884	0.0221709	0.819587	0.0603751	0.0675946	0.0025359	0	0.0358752
34571	0.996704	0	0	0.0419277	0.0695173	0.0297942	0.0419282	0.0695011	0.0298123	0.0419282	0.0695011	0.0298123	0.0419282	0.0695008	0.0298122	0.993738	0	0
34572	0.24671	0	0.010809	0.181492	0.0955674	0.130771	0.181487	0.0956174	0.130841	0.229717	0.0930111	0.122988	0.229708	0.0929894	0.122956	1	0.00123741	0.00123757
